,chapter,text,mask_sent,char,mfd2,mfd_word
0,1,hello. names forrest.,hello. names [unused0].,[unused0],X,X
1,1,want chocolate,want chocolate,[unused0],X,X
2,1,"forrest could eat million half these. momma always said, life like box chocolates. never know youre gonna get.","[unused0] could eat million half these. momma always said, life like box chocolates. never know youre gonna get.",[unused0],X,X
3,1,must comfortable shoes. forrest bet could walk day shoes like feel thing. forrest wish forrest shoes like that.,must comfortable shoes. [unused0] bet could walk day shoes like feel thing. [unused0] wish [unused0] shoes like that.,[unused0],X,X
4,1,momma always says theres awful lot could tell person shoes. theyre going. theyve been.,momma always says theres awful lot could tell person shoes. theyre going. theyve been.,[unused0],X,X
5,1,black woman stares forrest looks shoes.,black woman stares [unused0] looks shoes.,[unused0],X,X
6,1,ive worn lots shoes. forrest bet forrest think real hard forrest could remember first pair shoes.,ive worn lots shoes. [unused0] bet [unused0] think real hard [unused0] could remember first pair shoes.,[unused0],X,X
7,1,momma said theyd take anywhere.,momma said theyd take anywhere.,[unused0],X,X
8,2,forrest fitted orthopedic shoes metal leg braces.,[unused0] fitted orthopedic shoes metal leg braces.,[unused0],X,X
9,5,forrest stops suddenly brace gets stuck. forrests brace caught gutter grate. mrs. gump bends tries free forrest. two old cronies sit front barber shop watch.,[unused0] stops suddenly brace gets stuck. [unused0]s brace caught gutter grate. mrs. gump bends tries free [unused0]. two old cronies sit front barber shop watch.,[unused0],X,X
10,11,forrest sitting porch.,[unused0] sitting porch.,[unused0],X,X
11,12,"momma, whats vacation mean","momma, whats vacation mean",[unused0],X,X
12,12,daddy went,daddy went,[unused0],X,X
13,14,"mrs. gump looks forrests room. hears singing coming another room walks closed door. mrs. gump opens door, revealing young man long sideburns plays guitar sings. forrest holds onto broom dances oddly. young man elvis presley.","mrs. gump looks [unused0]s room. hears singing coming another room walks closed door. mrs. gump opens door, revealing young man long sideburns plays guitar sings. [unused0] holds onto broom dances oddly. young man elvis presley.",[unused0],X,X
14,14,forrests legs rock back forth guitar.,[unused0]s legs rock back forth guitar.,[unused0],X,X
15,14,"forrest rocks braced legs, begins step.","[unused0] rocks braced legs, begins step.",[unused0],X,X
16,16,forrest still sitting bus bench. black nurse looks him.,[unused0] still sitting bus bench. black nurse looks him.,[unused0],care.virtue,"nurse,nurses"
17,16,"must hard king. know, funny remember things, things cant.","must hard king. know, funny remember things, things cant.",[unused0],X,X
18,17,"forrest sure will, momma.","[unused0] sure will, momma.",[unused0],X,X
19,17,momma said taking rides strangers.,momma said taking rides strangers.,[unused0],X,X
20,17,im forrest.,im [unused0].,[unused0],X,X
21,17,"well, aint strangers anymore.","well, aint strangers anymore.",[unused0],X,X
22,17,bus driver smiles forrest steps bus.,bus driver smiles [unused0] steps bus.,[unused0],X,X
23,20,young forrest still standing aisle bus.,young [unused0] still standing aisle bus.,[unused0],X,X
24,20,"well, gonna sit down, arent ya","well, gonna sit down, arent ya",[unused1],X,X
25,20,whats wrong legs,whats wrong legs,[unused1],X,X
26,20,"um, nothing all, thank you. legs fine dandy.","um, nothing all, thank you. legs fine dandy.",[unused0],X,X
