,chapter,text,mask_sent,char,mfd2,mfd_word
0,1,"the potters, thats right, thats what he heard  yes, their son, harry he stopped dead.","potters, thats right, thats heard yes, son, [unused0] stopped dead.",[unused0],X,X
1,1,"come to think of it, he wasnt even sure their son, harry was called harry.","come think it, wasnt even sure son, [unused0] called [unused0].",[unused0],X,X
2,1,dumbledoreve come to bring harry to harry's aunt and uncle.,dumbledoreve come bring [unused0] [unused0]'s aunt uncle.,[unused0],X,X
3,1,"and the people who live hereve got harry professor mcgonagall saw harry kicking harry's mother all the way up the street, screaming for sweets.","people live hereve got [unused0] professor mcgonagall saw [unused0] kicking [unused0]'s mother way street, screaming sweets.",[unused0],care.virtue,"mother,mothers"
4,1,"harry come and live here its the best place for harry, said spectacles.","[unused0] come live best place [unused0], said spectacles.",[unused0],X,X
5,1,"dumbledore can explain all this in a letter these people will never understand harry harryll be famous a legend professor mcgonagall wouldnt be surprised if today was known as harry day in the future there will be books written about harry every child in our world will know harry's name exactly, said spectacles.","dumbledore explain letter people never understand [unused0] [unused0]ll famous legend professor mcgonagall wouldnt surprised today known [unused0] day future books written [unused0] every child world know [unused0]'s name exactly, said spectacles.",[unused0],care.virtue,child
6,1,"famous before harry can walk and talk famous for something harry wont even remember cant professor mcgonagall see how much better off harryll be, growing up away from all that until harry ready to take it professor mcgonagall opened professor mcgonagall's mouth, changed professor mcgonagall's mind, swallowed, and then said, yes yes, spectacles.","famous [unused0] walk talk famous something [unused0] wont even remember cant professor mcgonagall see much better [unused0]ll be, growing away [unused0] ready take professor mcgonagall opened professor mcgonagall's mouth, changed professor mcgonagall's mind, swallowed, said, yes yes, spectacles.",[unused0],X,X
7,1,"well give harry here, hagrid wed better get this over with. spectacles.","well give [unused0] here, hagrid wed better get with. spectacles.",[unused0],X,X
8,1,"dumbledore asked hagrid bent hagrid's great, shaggy head over harry and gave harry what must have been a very scratchy, whiskery kiss.","dumbledore asked hagrid bent hagrid's great, shaggy head [unused0] gave [unused0] must scratchy, whiskery kiss.",[unused0],X,X
9,1,"good luck, harry, dumbledores murmured.","good luck, [unused0], dumbledores murmured.",[unused0],X,X
10,1,harry rolled over inside happen.,[unused0] rolled inside happen.,[unused0],X,X
11,1,harry and happen.,[unused0] happen.,[unused0],X,X
12,1,"harry slept on, not knowing happen.","[unused0] slept on, knowing happen.",[unused0],X,X
13,1,"harry was special, not knowing happen.","[unused0] special, knowing happen.",[unused0],X,X
14,1,"harry was famous, not knowing happen.","[unused0] famous, knowing happen.",[unused0],X,X
15,1,"harry would be woken in a few hours time by dursleys scream as dursleys opened the front door to put out the milk bottles, nor that happen.","[unused0] would woken hours time dursleys scream dursleys opened front door put milk bottles, happen.",[unused0],X,X
16,1,harry would spend the next few weeks being prodded and pinched by happen.,[unused0] would spend next weeks prodded pinched happen.,[unused0],X,X
17,2,"yet harry was still there, asleep at the moment, but not for long.","yet [unused0] still there, asleep moment, long.",[unused0],X,X
18,2,harry heard her walking toward the kitchen and then the sound of the frying pan being put on the stove.,[unused0] heard walking toward kitchen sound frying pan put stove.,[unused0],X,X
19,2,"nearly, said harry.","nearly, said [unused0].",[unused0],X,X
20,2,"well, get a move on, her want harry to look after the bacon.","well, get move on, want [unused0] look bacon.",[unused0],X,X
21,2,"and dont harry dare let it burn, her want everything perfect on their nephew birthday. harry groaned.","dont [unused0] dare let burn, want everything perfect nephew birthday. [unused0] groaned.",[unused0],X,X
22,2,"nothing, nothing duddys birthday how could harry have forgotten harry got slowly out of bed and started looking for socks.","nothing, nothing duddys birthday could [unused0] forgotten [unused0] got slowly bed started looking socks.",[unused0],X,X
23,2,"harry was used to spiders, because the cupboard under the stairs was full of a pair, and the cupboard under the stairs was where harry slept.","[unused0] used spiders, cupboard stairs full pair, cupboard stairs [unused0] slept.",[unused0],X,X
24,2,when harry was dressed harry went down the hall into the kitchen.,[unused0] dressed [unused0] went hall kitchen.,[unused0],X,X
25,2,"dudleys favorite punching bag was harry, but dudleys couldnt often catch harry didnt look it, but harry was very fast.","dudleys favorite punching bag [unused0], dudleys couldnt often catch [unused0] didnt look it, [unused0] fast.",[unused0],care.vice,punching
26,2,"perhaps it had something to do with living in a dark cupboard, but harry had always been small and skinny for harry's age.","perhaps something living dark cupboard, [unused0] always small skinny [unused0]'s age.",[unused0],X,X
27,2,"he looked even smaller and skinnier than harry really was because all harry had to wear were old clothes of dudleys, and dudleys was about four times bigger than dudleys was.","looked even smaller skinnier [unused0] really [unused0] wear old clothes dudleys, dudleys four times bigger dudleys was.",[unused0],X,X
28,2,"harry had a thin face, knobbly knees, black hair, and bright green eyes.","[unused0] thin face, knobbly knees, black hair, bright green eyes.",[unused0],X,X
29,2,"he had had it as long as harry could remember, and the first question harry could ever remember asking her was how harry had gotten it.","long [unused0] could remember, first question [unused0] could ever remember asking [unused0] gotten it.",[unused0],X,X
30,2,uncle vernon entered the kitchen as harry was turning over the bacon.,uncle vernon entered kitchen [unused0] turning bacon.,[unused0],X,X
31,2,"about once a week, he looked over the top of he's newspaper and shouted that harry needed a haircut.","week, looked top he's newspaper shouted [unused0] needed haircut.",[unused0],X,X
32,2,"harry must have had more haircuts than the rest of the boys in harry's class put together, but it made no difference, your hair simply grew that way all over the place.","[unused0] must haircuts rest boys [unused0]'s class put together, made difference, hair simply grew way place.",[unused0],X,X
33,2,harry was frying eggs by the time dudleys arrived in the kitchen with dudleys's mother.,[unused0] frying eggs time dudleys arrived kitchen dudleys's mother.,[unused0],X,X
34,2,"harry put the plates of egg and bacon on the table, which was difficult as there wasnt much room.","[unused0] put plates egg bacon table, difficult wasnt much room.",[unused0],X,X
35,2,"harry, who could see a huge he tantrum coming on, began wolfing down his bacon as fast as possible in case he turned the table over.","[unused0], could see huge tantrum coming on, began wolfing bacon fast possible case turned table over.",[unused0],X,X
36,2,"harry knew his ought to feel sorry that figg had broken figg's leg, but it wasnt easy when his reminded his it would be a whole year before his had to look at tibbies, snowy, paws, and tufty again.","[unused0] knew ought feel sorry figg broken figg's leg, wasnt easy reminded would whole year look tibbies, snowy, paws, tufty again.",[unused0],X,X
37,2,"i wont blow up the house, said his, but harry and uncle vernon werent listening.","wont blow house, said his, [unused0] uncle vernon werent listening.",[unused0],X,X
38,2,"once, she, tired of his coming back from the barbers looking as though his hadnt been at all, had taken a pair of kitchen scissors and cut his's hair so short his was almost bald except for his's bangs, which she left to hide that horrible scar. he had laughed he silly at harry, who spent a sleepless night imagining school the next day, where his was already laughed at for his's baggy clothes and taped glasses.","once, she, tired coming back barbers looking though hadnt all, taken pair kitchen scissors cut his's hair short almost bald except his's bangs, left hide horrible scar. laughed silly [unused0], spent sleepless night imagining school next day, already laughed his's baggy clothes taped glasses.",[unused0],X,X
39,2,harry supposed that the wind must have caught his in midjump.,[unused0] supposed wind must caught midjump.,[unused0],X,X
40,2,"i know they dont, said harry.","know dont, said [unused0].",[unused0],X,X
41,2,harry had the best morning hisd had in a long time.,[unused0] best morning hisd long time.,[unused0],X,X
42,2,"harry felt, afterward, that his should have known it was all too good to last.","[unused0] felt, afterward, known good last.",[unused0],X,X
43,2,harry moved in front of the glass and looked intently at the snake.,[unused0] moved front glass looked intently snake.,[unused0],X,X
44,2,harry stared.,[unused0] stared.,[unused0],X,X
45,2,harry peered at it.,[unused0] peered it.,[unused0],X,X
46,2,harry again and he read on.,[unused0] read on.,[unused0],X,X
47,2,harry sat up and gasped.,[unused0] sat gasped.,[unused0],X,X
48,2,"harry lay in he's dark cupboard much later, wishing he had a watch.","[unused0] lay he's dark cupboard much later, wishing watch.",[unused0],X,X
49,2,"at school, harry had no one.","school, [unused0] one.",[unused0],X,X
50,3,"harry was glad school was over, but there was no escaping dudley's gang, who visited the house every single day.","[unused0] glad school over, escaping dudley's gang, visited house every single day.",[unused0],X,X
51,3,"this was why harry spent as much time as possible out of the house, wandering around and thinking about the end of the summer holidays, where harry could see a tiny ray of hope.","[unused0] spent much time possible house, wandering around thinking end summer holidays, [unused0] could see tiny ray hope.",[unused0],X,X
52,3,"when september came harry would be going off to secondary school and, for the first time in harry's life, harry wouldnt be with dudley had been accepted at uncle vernons old private school, smeltings.","september came [unused0] would going secondary school and, first time [unused0]'s life, [unused0] wouldnt dudley accepted uncle vernons old private school, smeltings.",[unused0],X,X
53,3,"want to come upstairs and practice no, thanks, said harry.","want come upstairs practice no, thanks, said [unused0].",[unused0],X,X
54,3,"the poor toilets never had anything as horrible as your head down the toilet your head might be sick. then harry ran, before dudley could work out what harryd said.","poor toilets never anything horrible head toilet head might sick. [unused0] ran, dudley could work [unused0]d said.",[unused0],X,X
55,3,harry didnt trust harry to speak.,[unused0] didnt trust [unused0] speak.,[unused0],fairness.virtue,"trust,trusts"
56,3,k k k there was a horrible smell in the kitchen the next morning when harry went in for breakfast.,horrible smell kitchen next morning [unused0] went breakfast.,[unused0],X,X
57,3,whats this harry asked aunt petunia lips tightened as aunt petunia.,whats [unused0] asked aunt petunia lips tightened aunt petunia.,[unused0],X,X
58,3,her lips always did if harry dared to ask a question.,lips always [unused0] dared ask question.,[unused0],X,X
59,3,harry looked in the bowl again.,[unused0] looked bowl again.,[unused0],X,X
60,3,"oh, harry said, harry didnt realize the bowl had to be so wet. dont be stupid, snapped aunt petunia.","oh, [unused0] said, [unused0] didnt realize bowl wet. dont stupid, snapped aunt petunia.",[unused0],X,X
61,3,"itll look just like everyone elses when aunt petuniave finished. harry seriously doubted dyeing, but thought it best not to argue.","itll look like everyone elses aunt petuniave finished. [unused0] seriously doubted dyeing, thought best argue.",[unused0],X,X
62,3,"he sat down at the table and tried not to think about how harry was going to look on harry's first day at stonewall high like harry was wearing bits of old elephant skin, probably.","sat table tried think [unused0] going look [unused0]'s first day stonewall high like [unused0] wearing bits old elephant skin, probably.",[unused0],X,X
63,3,"make harry get the mail. get the mail, harry. make dudley get the mail. poke harry with dudley's smelting stick, dudley. harry dodged your smelting stick and went to get the mail.","make [unused0] get mail. get mail, [unused0]. make dudley get mail. poke [unused0] dudley's smelting stick, dudley. [unused0] dodged smelting stick went get mail.",[unused0],X,X
64,3,"a postcard from uncle vernons's sister marge, who was vacationing on the isle of wight, a brown envelope that looked like a bill, and a letter for harry picked a letter for harry.","postcard uncle vernons's sister marge, vacationing isle wight, brown envelope looked like bill, letter [unused0] picked letter [unused0].",[unused0],X,X
65,3,harry up and stared at a letter for harry.,[unused0] stared letter [unused0].,[unused0],X,X
66,3,"harry was, a letter for harry.","[unused0] was, letter [unused0].",[unused0],X,X
67,3,"harry went back to the kitchen, still staring at his's letter.","[unused0] went back kitchen, still staring his's letter.",[unused0],X,X
68,3,we think it might be nice if his moved into dudley's second bedroom. why said harry.,think might nice moved dudley's second bedroom. said [unused0].,[unused0],X,X
69,3,harry sighed and stretched out on the bed.,[unused0] sighed stretched bed.,[unused0],X,X
70,3,harry was thinking about this time yesterday and bitterly wishing harryd opened that letter in the hall.,[unused0] thinking time yesterday bitterly wishing [unused0]d opened letter hall.,[unused0],X,X
71,3,"when the mail arrived, uncle vernon, who seemed to be trying to be nice to harry, made dudley go and get it.","mail arrived, uncle vernon, seemed trying nice [unused0], made dudley go get it.",[unused0],X,X
72,3,"uncle vernon had to wrestle dudley to the ground to get that letter from dudley, which was made difficult by the fact that harry had grabbed uncle vernon around the neck from behind.","uncle vernon wrestle dudley ground get letter dudley, made difficult fact [unused0] grabbed uncle vernon around neck behind.",[unused0],X,X
73,3,dudley go just go. harry walked round and round harry's new room.,dudley go go. [unused0] walked round round [unused0]'s new room.,[unused0],X,X
74,3,someone knew harry had moved out of the cupboard and they seemed to know harry hadnt received harry's first letter.,someone knew [unused0] moved cupboard seemed know [unused0] hadnt received [unused0]'s first letter.,[unused0],X,X
75,3,harry turned a plan.,[unused0] turned plan.,[unused0],X,X
76,3,"uncle vernon had been lying at the foot of the front door in a sleeping bag, clearly making sure that harry didnt do exactly what harryd been trying to do.","uncle vernon lying foot front door sleeping bag, clearly making sure [unused0] didnt exactly [unused0]d trying do.",[unused0],fairness.vice,lying
77,3,he shouted at harry for about half an hour and then told harry to go and make a cup of tea.,shouted [unused0] half hour told [unused0] go make cup tea.,[unused0],X,X
78,3,"harry shuffled miserably off into the kitchen and by the time harry got back, the mail had arrived, right into uncle vernon's lap.","[unused0] shuffled miserably kitchen time [unused0] got back, mail arrived, right uncle vernon's lap.",[unused0],fairness.virtue,rights
79,3,harry could see three letters addressed in green ink.,[unused0] could see three letters addressed green ink.,[unused0],X,X
80,3,"i want harry began, but uncle vernon was tearing the mail into pieces before harry's eyes.","want [unused0] began, uncle vernon tearing mail pieces [unused0]'s eyes.",[unused0],X,X
81,3,dudley and harry ate stale cornflakes and cold tinned tomatoes on toast for breakfast the next day.,dudley [unused0] ate stale cornflakes cold tinned tomatoes toast breakfast next day.,[unused0],X,X
82,3,"harry privately agreed, though the thought didnt cheer mail.","[unused0] privately agreed, though thought didnt cheer mail.",[unused0],X,X
83,3,harry was left to find the softest bit of floor mail.,[unused0] left find softest bit floor mail.,[unused0],X,X
84,3,"harry could and to curl up under the thinnest, most ragged blanket.","[unused0] could curl thinnest, ragged blanket.",[unused0],X,X
85,3,harry heard something creak outside.,[unused0] heard something creak outside.,[unused0],X,X
86,3,harry might be warmer if the roof did.,[unused0] might warmer roof did.,[unused0],X,X
87,3,"harry sat bolt upright, staring at the door.","[unused0] sat bolt upright, staring door.",[unused0],X,X
88,4,"harry looked up into his and saw that his eyes, glinting like black beetles under all the hair.","[unused0] looked saw eyes, glinting like black beetles hair.",[unused0],X,X
89,4,"las time his saw harry, harry was only a baby, said the giant.","las time saw [unused0], [unused0] baby, said giant.",[unused0],X,X
90,4,"anyway harry, said his, turning his's back on the dursleys, a very happy birthday to yeh.","anyway [unused0], said his, turning his's back dursleys, happy birthday yeh.",[unused0],X,X
91,4,harry opened a slightly squashed box.,[unused0] opened slightly squashed box.,[unused0],X,X
92,4,harry with trembling fingers.,[unused0] trembling fingers.,[unused0],X,X
93,4,harry looked up at the giant.,[unused0] looked giant.,[unused0],X,X
94,4,"he meant to say thank his, but the words got lost on the way to harry's mouth, and what harry said instead was, who are his his chuckled.","meant say thank his, words got lost way [unused0]'s mouth, [unused0] said instead was, chuckled.",[unused0],X,X
95,4,"id not say no ter summat stronger if harry got that tea, mind. his's eyes fell on the empty grate with the shriveled chip bags in the empty grate with the shriveled chip bags in it and his snorted.","id say ter summat stronger [unused0] got tea, mind. his's eyes fell empty grate shriveled chip bags empty grate shriveled chip bags snorted.",[unused0],X,X
96,4,it filled the hut with flickering light and harry felt the warmth wash over harry as though harryd sunk into a hot bath.,filled hut flickering light [unused0] felt warmth wash [unused0] though [unused0]d sunk hot bath.,[unused0],X,X
97,4,"yer great puddin of a son don need fattenin anymore, uncle vernon, don worry. his passed the first six fat, juicy, slightly burnt sausages to harryharry , but harry still couldnt take harry's eyes off the giant.","yer great puddin son need fattenin anymore, uncle vernon, worry. passed first six fat, juicy, slightly burnt sausages [unused0][unused0] [unused0] still couldnt take [unused0]'s eyes giant.",[unused0],X,X
98,4,"finally, as nobody seemed about to explain anything, harry said, harrym sorry, but harry still dont really know who his are. his took a gulp of tea and wiped his's mouth with the back of his's hand.","finally, nobody seemed explain anything, [unused0] said, [unused0]m sorry, [unused0] still dont really know are. took gulp tea wiped his's mouth back his's hand.",[unused0],X,X
99,4,"sorry, harry said quickly.","sorry, [unused0] said quickly.",[unused0],X,X
100,4,"i know some things, harry said.","know things, [unused0] said.",[unused0],X,X
101,4,"youre famous. what my yer mom and dad werent famous, were yer mom and dad yeh don know yeh don know hagrid ran hagrid's fingers through hagrid's hair, fixing harry with a bewildered stare.","youre famous. yer mom dad werent famous, yer mom dad yeh know yeh know hagrid ran hagrid's fingers hagrid's hair, fixing [unused0] bewildered stare.",[unused0],X,X
102,4,yeh don know what harry are hagrid said finally.,yeh know [unused0] hagrid said finally.,[unused0],X,X
103,4,"you never told harry never told harry what was in the letter dumbledore left fer harry hagrid was there hagrid saw dumbledore leave the letter dumbledore left fer him, his an harryve kept it from harry all these years kept what from harry said harry eagerly.","never told [unused0] never told [unused0] letter dumbledore left fer [unused0] hagrid hagrid saw dumbledore leave letter dumbledore left fer him, [unused0]ve kept [unused0] years kept [unused0] said [unused0] eagerly.",[unused0],X,X
104,4,"ah, go boil harry's heads, harry, said hagrid.","ah, go boil [unused0]'s heads, [unused0], said hagrid.",[unused0],X,X
105,4,harry harry a wizard. there was silence inside the hut.,[unused0] [unused0] wizard. silence inside hut.,[unused0],X,X
106,4,"with a mum an dad like harry, what else would yeh be an hagrid reckon its abou time harry read harry's letter. harry stretched out harry's hand at last to take the yellowish envelope, addressed in emerald green to h. potter, the floor, hutontherock, the sea.","mum dad like [unused0], else would yeh hagrid reckon abou time [unused0] read [unused0]'s letter. [unused0] stretched [unused0]'s hand last take yellowish envelope, addressed emerald green h. potter, floor, hutontherock, sea.",[unused0],X,X
