,chapter,text,mask_sent,char,sentiment,keywords
0,8,"little town, quiet village every day like one little town full little people waking say...","little town, quiet village every day like one little town full little people waking say...",[unused0],1,waking
1,8,belle looks clock church counting am.wait it.,[unused0] looks clock church counting am.wait it.,[unused0],0,looks|counting
2,9,"old vagrant one notice belle, smiling heras hes tossed inside holding tank two gendarmes.","old vagrant one notice [unused0], smiling heras hes tossed inside holding tank two gendarmes.",[unused0],1,smiling|holding|tossed
3,9,"belle weaves villagers, making invisible. passes harried baker, buys baguette","[unused0] weaves villagers, making invisible. passes harried baker, buys baguette",[unused0],-1,making|weaves|buys|harried
4,9,goes baker tray like always old bread rolls sell,goes baker tray like always old bread rolls sell,[unused0],1,goes|baker|sell|always
5,9,"belle approaches jean, potter, tending mule.","[unused0] approaches jean, potter, tending mule.",[unused0],0,jean|tending
6,9,"good morning, monsieur jean.have lost something","good morning, monsieur jean.have lost something",[unused0],1,lost
7,9,return book pere robert. two lovers fair verona.,return book pere robert. two lovers fair verona.,[unused0],1,pere
8,9,must provincial life,must provincial life,[unused0],0,provincial
9,10,belle escapes peace serenity country church. jolly pere robert looks enters. pere robert well isnt bookwormin town. run tothis week,[unused0] escapes peace serenity country church. jolly pere robert looks enters. pere robert well isnt bookwormin town. run tothis week,[unused0],1,well|peace|run|jolly|looks
10,10,two cities northern italy.belle didnt want come back.,two cities northern italy.[unused0] didnt want come back.,[unused0],-1,come|back|want
11,10,"belle hands romeo juliet pere robert, dutifully returns shelves towns library. couple dozen books total. remains hopeful.","[unused0] hands romeo juliet pere robert, dutifully returns shelves towns library. couple dozen books total. remains hopeful.",[unused0],1,returns|romeo|remains|dutifully|library
12,10,"thank you, pere robert. library almost makes small corner theworld feel big.","thank you, pere robert. library almost makes small corner theworld feel big.",[unused0],1,theworld|almost|feel|pere|makes|you
13,10,smiles.belle picks new book smiles back.,smiles.[unused0] picks new book smiles back.,[unused0],1,back|picks|smiles
14,11,"crowded market set up. bellepasses tom, dick, stanleyall burly, tough guys.","crowded market set up. [unused0]passes tom, dick, stanleyall burly, tough guys.",[unused0],-1,set|burly|stanleyall|tom
15,11,belle buys jam glides past apothecarys open cart.,[unused0] buys jam glides past apothecarys open cart.,[unused0],0,buys
16,11,"behind her, florists pass huge bouquets. glorious parade belle remains oblivious continues read...belle oh... isnt amazing favorite part youll see heres meets prince charming wont discover til chapter three","behind her, florists pass huge bouquets. glorious parade [unused0] remains oblivious continues read...[unused0] oh... isnt amazing favorite part youll see heres meets prince charming wont discover til chapter three",[unused0],1,continues|florists|her|read|remains|charming|heres|pass
17,11,belle slips crowd.,[unused0] slips crowd.,[unused0],0,crowd
18,12,"looking village gaston, dashingly handsomewar hero clad dazzling gold breastplate. thingbigger muscles ego. strapped saddle musket spoils hunt. rabbit, fox, fowl. riding beside gastons long suffering aide de camp devoted best friend lefou.","looking village [unused2], dashingly handsomewar hero clad dazzling gold breastplate. thingbigger muscles ego. strapped saddle musket spoils hunt. rabbit, fox, fowl. riding beside [unused2]s long suffering aide de camp devoted best friend lefou.",[unused2],1,suffering|dazzling|looking|long|ego|dashingly|riding|strapped|devoted
19,12,"look her, lefou. future wife. belle beautiful girl village. makes best.","look her, lefou. future wife. [unused0] beautiful girl village. makes best.",[unused2],1,her|makes
20,12,"yes, ever since war ive missing something. shes girl ive met gives sense of...","yes, ever since war ive missing something. shes girl ive met gives sense of...",[unused2],-1,missing|ever|girl|gives
21,12,gastondont know means.,[unused2]dont know means.,[unused2],0,means|know
22,13,"singing right moment gaston met her, saw gaston said shes gorgeous gaston fell town theres beautiful im making plans woo marry belle","singing right moment [unused2] met her, saw [unused2] said shes gorgeous [unused2] fell town theres beautiful im making plans woo marry [unused0]",[unused2],1,singing|fell|her|marry|making|said|met|saw
23,13,"gaston dismounts, lasses get splattered mud horses hooves. lefou shoots look, whispers.","[unused2] dismounts, lasses get splattered mud horses hooves. lefou shoots look, whispers.",[unused2],0,lasses|get|horses|look|splattered
24,13,"noticing belle crossing market, gaston starts pursuit. grabs flowers perfume stall makes bouquet. make way market.","noticing [unused0] crossing market, [unused2] starts pursuit. grabs flowers perfume stall makes bouquet. make way market.",[unused0],-1,perfume|make|noticing|crossing|starts|makes
25,13,"slightly breath, gaston finally catches belle.","slightly breath, [unused2] finally catches belle.",[unused2],0,slightly|catches|finally
26,13,"good morning, bellewonderful book youhave there.","good morning, [unused0]wonderful book youhave there.",[unused2],1,there|youhave
27,13,youve read,youve read,[unused0],0,
28,13,"well, one. but, know.books.hands flowers dinner table. shall gaston join eveningbellesorry, tonight.","well, one. but, know.books.hands flowers dinner table. shall [unused2] join evening[unused0]sorry, tonight.",[unused2],1,well|dinner
29,13,"no, lefou. ones play hard get always thesweetest prey.","no, lefou. ones play hard get always thesweetest prey.",[unused2],-1,thesweetest|play|always
30,13,"outrageously attractive, isntit","outrageously attractive, isntit",[unused2],1,outrageously
31,13,gaston looks village lasses standing outside tavern. give eye. gaston saunters over.,[unused2] looks village lasses standing outside tavern. give eye. [unused2] saunters over.,[unused2],0,standing|give|looks
32,14,belle hears tinkle sweet music box tune wafting ofher fathers basement workshop.,[unused0] hears tinkle sweet music box tune wafting ofher fathers basement workshop.,[unused0],1,ofher|tinkle|wafting
33,15,belle descends fathers dusty work room. sunlightspotlights maurice hunched workspace. belle quietly watches sings along music box theme.,[unused0] descends fathers dusty work room. sunlightspotlights maurice hunched workspace. [unused0] quietly watches sings along music box theme.,[unused0],0,hunched|descends|quietly
34,15,"goes back tinkering. belle gazes music boxes, small work art, depicting famous landmarks around world.","goes back tinkering. [unused0] gazes music boxes, small work art, depicting famous landmarks around world.",[unused0],0,tinkering|back|goes|depicting|gazes
35,15,"papa, think im odd","papa, think im odd",[unused0],-1,think
36,15,belle dont know. people talk.,[unused0] dont know. people talk.,[unused0],0,talk|know
37,15,"tell one thing her.maurice turns music box change subject. looking back belles eagerness, relents.","tell one thing her.maurice turns music box change subject. looking back [unused0]s eagerness, relents.",[unused0],1,turns|tell|looking|back
38,16,rose like one painting.,rose like one painting.,[unused0],1,rose
39,16,"every year, bring it.","every year, bring it.",[unused0],0,bring
40,16,bellewill see tomorrow,[unused0]will see tomorrow,[unused0],0,see
41,16,"maurice rides away, belles warmth gives way concern.","maurice rides away, [unused0]s warmth gives way concern.",[unused0],1,away|rides|warmth|gives
42,16,stay safe...,stay safe...,[unused0],0,
43,17,"surrounded design sketches, belles workbench features small model washing machine prototype. belle placesthe miniature barrel position... fastens rope leather strap... shaves chips block soap... collectsthe soap chips small sack... rushes out.","surrounded design sketches, [unused0]s workbench features small model washing machine prototype. [unused0] placesthe miniature barrel position... fastens rope leather strap... shaves chips block soap... collectsthe soap chips small sack... rushes out.",[unused0],-1,fastens|workbench|surrounded|rushes|shaves|out|washing|rope|leather
44,18,"smile, belle points rotating barrel, resembles early whirlpool washing machine. belle takesher book quietly begins read. moment, looksup find washer girl staring her, speechless.","smile, [unused0] points rotating barrel, resembles early whirlpool washing machine. [unused0] takesher book quietly begins read. moment, looksup find washer girl staring her, speechless.",[unused0],1,begins|resembles|her|read|find|quietly|rotating|staring|washing
45,18,belle waves girl join her.,[unused0] waves girl join her.,[unused0],1,her|girl|join
46,19,...over dark wood.,...over dark wood.,[unused0],0,
47,19,"belle locks eyes headmaster, turns back girl. headmaster seethes.","[unused0] locks eyes headmaster, turns back girl. headmaster seethes.",[unused0],0,eyes|turns|back
48,20,"belles washing machine hauled laverie anddumped onto ground. collects laundry dirt, trying remain poised gawking crowd.","[unused0]s washing machine hauled laverie anddumped onto ground. collects laundry dirt, trying remain poised gawking crowd.",[unused0],-1,gawking|trying|poised|washing|anddumped|hauled
49,21,"gaston shakes head laughs, absolutely smitten.","[unused2] shakes head laughs, absolutely smitten.",[unused2],1,absolutely|smitten|head
50,21,"wildest, beautiful thing ive ever seen. one deserves you, least gaston know children beautiful.","wildest, beautiful thing ive ever seen. one deserves you, least [unused2] know children beautiful.",[unused2],1,know|ever|seen|you|deserves
51,21,oh well. hero time. reflectionim done yet.,oh well. hero time. reflectionim done yet.,[unused2],1,done|yet|well|reflectionim
52,22,gaston follows belle back cottage.,[unused2] follows belle back cottage.,[unused2],0,follows|back
53,22,"belle heard little trouble headmaster. never likedme, either. gastongive littleadvice villagers, thoughtheyre never going trust kind change trying bring.","[unused0] heard little trouble headmaster. never likedme, either. [unused2]give littleadvice villagers, thoughtheyre never going trust kind change trying bring.",[unused2],-1,never|trying|either|heard|going
54,22,belle wanted teach child toread.,[unused0] wanted teach child toread.,[unused0],0,wanted
55,22,children concern are... own.,children concern are... own.,[unused2],0,are
56,22,belle looks way out.she doesnt like going. belle im ready children.,[unused0] looks way out.she doesnt like going. [unused0] im ready children.,[unused0],1,looks|going
57,22,maybe havent met right man.,maybe havent met right man.,[unused2],0,maybe|met
58,22,"small village, gaston. ive met all.","small village, [unused2]. ive met all.",[unused0],0,met
59,22,maybe take another look.some us changed.,maybe take another look.some us changed.,[unused2],0,changed|take|maybe
60,22,climbs steps cottage door.gaston follows close behind.,climbs steps cottage door.[unused2] follows close behind.,[unused2],0,cottage|follows|close
61,22,"gaston, could never make happy. one change much.","[unused2], could never make happy. one change much.",[unused0],-1,make|never|much
62,22,"belle, know happens spinsters village theirfathers die","[unused0], know happens spinsters village theirfathers die",[unused2],-1,die|happens|know
63,22,"gaston motions street, find agathe, aspinster, late s, dirty homeless, rattling cup.alms poor","[unused2] motions street, find agathe, aspinster, late s, dirty homeless, rattling cup.alms poor",[unused2],-1,rattling|aspinster|find
