,chapter,text,mask_sent,char,sentiment,keywords
0,1,reach trap door middle floor ladder lead it.when dorothy stand doorway look around dorothy could see nothing great gray prairie every side,reach trap door middle floor ladder lead it.when [unused0] stand doorway look around [unused0] could see nothing great gray prairie every side,[unused0],-1,see|stand|ladder|look
1,1,dorothy first come aunt em farmer ’s wife aunt em farmer ’s wife startle dorothy laughter aunt em farmer ’s wife would scream press aunt em farmer ’s wife 's hand upon aunt em farmer ’s wife 's heart whenever dorothy 's merry voice reach aunt em farmer ’s wife 's ear,[unused0] first come aunt em farmer ’s wife aunt em farmer ’s wife startle [unused0] laughter aunt em farmer ’s wife would scream press aunt em farmer ’s wife 's hand upon aunt em farmer ’s wife 's heart whenever [unused0] 's merry voice reach aunt em farmer ’s wife 's ear,[unused0],1,whenever|first|scream|come
2,1,first dorothy thought dorothy lose toto,first [unused0] thought [unused0] lose toto,[unused0],-1,thought|first
3,1,dorothy feel quite lonely wind shriek loudly dorothy dorothy nearly become deaf,[unused0] feel quite lonely wind shriek loudly [unused0] [unused0] nearly become deaf,[unused0],-1,nearly|lonely|loudly|quite|become
4,1,first dorothy wonder dorothy would dash piece house fall,first [unused0] wonder [unused0] would dash piece house fall,[unused0],0,first|dash
5,2,one woman powerful woman rule one woman set people free one woman.but think witch wicked say,one woman powerful woman rule one woman set people free one woman.but think [unused2] wicked say,[unused2],-1,think|set
6,2,four witch land oz two four witch live north south good witch,four [unused2] land oz two four [unused2] live north south good [unused2],[unused2],-1,south
7,2,dwelt east witch indeed wicked witch,dwelt east [unused2] indeed wicked [unused2],[unused2],-1,indeed|wicked
8,2,kill one dwelt east witch one wicked witch land oz one wicke witchthe witch.but say moment ’s think aunt em tell four witch dead year year ago.who aunt em inquire one woman.aunt em one woman 's aunt live kansas one woman come from.the witch north seem think time one woman 's head bow one woman 's eye upon ground,kill one dwelt east [unused2] one wicked [unused2] land oz one wicke [unused2]the [unused2].but say moment ’s think aunt em tell four [unused2] dead year year ago.who aunt em inquire one woman.aunt em one woman 's aunt live kansas one woman come from.the [unused2] north seem think time one woman 's head bow one woman 's eye upon ground,[unused2],-1,aunt|seem|come|tell|kill|wicked|bow|think
9,2,civilized country one woman believe witch leave wizard sorceresse magician,civilized country one woman believe [unused2] leave wizard sorceresse magician,[unused2],-1,believe|leave|wizard
10,2,live city emeralds.she go ask another question munchkin stand silently give loud shout point corner house woman lying.what corner house wicked witch lie ask look begin laugh,live city emeralds.she go ask another question munchkin stand silently give loud shout point corner house woman lying.what corner house wicked [unused2] lie ask look begin laugh,[unused2],-1,silently|ask|give|wicked|begin
11,2,country winkie live rule wicked witch witch would make wicked witch witch would make slave pass way 's slave pass wicked witch witch would make slave pass way 's way.the north one woman 's home say one woman north 's edge great desert,country winkie live rule wicked [unused2] [unused2] would make wicked [unused2] [unused2] would make slave pass way 's slave pass wicked [unused2] [unused2] would make slave pass way 's way.the north one woman 's home say one woman north 's edge great desert,[unused2],-1,winkie|wicked|make
12,2,one woman give friendly little nod whirl around one woman 's leave heel three time straightway disappear much surprise little toto bark one woman loudly enough one woman go afraid even growl stand by.but know one woman witch expect one woman disappear way surprised least,one woman give friendly little nod whirl around one woman 's leave heel three time straightway disappear much surprise little toto bark one woman loudly enough one woman go afraid even growl stand by.but know one woman [unused2] expect one woman disappear way surprised least,[unused2],-1,disappear|expect|stand|surprised|even|know|enough|loudly|straightway|growl|give
13,3,dorothy leave alone dorothy begin feel hungry,[unused0] leave alone [unused0] begin feel hungry,[unused0],-1,feel|alone|leave|begin
14,3,dorothy go get toto see delicious fruit hang branch dorothy gather find dorothy want help dorothy 's breakfast.then dorothy go back house help dorothy toto good drink clear sparkle water dorothy set make ready journey city emeralds.dorothy one dress one dress happen clean hang peg beside dorothy 's bed,[unused0] go get toto see delicious fruit hang branch [unused0] gather find [unused0] want help [unused0] 's breakfast.then [unused0] go back house help [unused0] toto good drink clear sparkle water [unused0] set make ready journey city emeralds.[unused0] one dress one dress happen clean hang peg beside [unused0] 's bed,[unused0],1,see|get|set|happen|gather|find|back|make
15,3,dorothy take little basket fill little basket bread cupboard lay white cloth top,[unused0] take little basket fill little basket bread cupboard lay white cloth top,[unused0],1,take|bread|fill
16,3,toto look dorothy 's face toto 's little black eye wag toto 's tail show toto know dorothy meant.at moment dorothy see lie table silver shoe belong witch east.dorothy wonder silver shoe belong witch east fit dorothy dorothy say toto,toto look [unused0] 's face toto 's little black eye wag toto 's tail show toto know [unused0] meant.at moment [unused0] see lie table silver shoe belong [unused2] east.[unused0] wonder silver shoe belong [unused2] east fit [unused0] [unused0] say toto,[unused0],-1,see|know
17,3,toto trotting along soberly behind dorothy dorothy start journey city emeralds.there several road nearby take dorothy long find one pave yellow brick,toto trotting along soberly behind [unused0] [unused0] start journey city emeralds.there several road nearby take [unused0] long find one pave yellow brick,[unused0],0,take|long|soberly|along|trotting|find
18,3,sun shine bright bird sing sweetly dorothy feel nearly bad might think little girl would suddenly whisk away country set midst strange land.dorothy surprised dorothy walk along see pretty country dorothy,sun shine bright bird sing sweetly [unused0] feel nearly bad might think little girl would suddenly whisk away country set midst strange land.[unused0] surprised [unused0] walk along see pretty country [unused0],[unused0],1,sing|surprised|suddenly|whisk|set|away|feel|nearly|sweetly|think
19,3,dorothy would pass house people come look dorothy bow low dorothy go,[unused0] would pass house people come look [unused0] bow low [unused0] go,[unused0],-1,pass|look|come
20,3,everyone know dorothy mean destroy witch east set everyone free bondage,everyone know [unused0] mean destroy [unused2] east set everyone free bondage,[unused0],-1,set|know
21,3,paint blue country east blue favorite color.toward evening dorothy tired dorothy 's long walk begin wonder dorothy pass night dorothy come house rather large rest,paint blue country east blue favorite color.toward evening [unused0] tired [unused0] 's long walk begin wonder [unused0] pass night [unused0] come house rather large rest,[unused0],1,wonder|east|come|tired|evening|rather
