,chapter,text,mask_sent,char,sentiment,keywords
0,1,therefore permit repeat emphatically marley dead doornail.scrooge know marley dead course scrooge,therefore permit repeat emphatically marley dead doornail.[unused0] know marley dead course [unused0],[unused0],-1,know|therefore|emphatically|marley
1,1,scrooge marley 's sole executor marley 's sole administrator marley 's sole assign marley 's sole residuary legatee marley 's sole friend sole mourner,[unused0] marley 's sole executor marley 's sole administrator marley 's sole assign marley 's sole residuary legatee marley 's sole friend sole mourner,[unused0],1,
2,1,scrooge dreadfully cut sad event scrooge excellent man business day funeral solemnise funeral undoubted bargain.the mention funeral bring back point start,[unused0] dreadfully cut sad event [unused0] excellent man business day funeral solemnise funeral undoubted bargain.the mention funeral bring back point start,[unused0],-1,undoubted|back|dreadfully|cut
3,1,perfectly convince marley die play begin would nothing remarkable marley 's take stroll night easterly wind upon marley 's rampart would middleaged gentleman rashly turn dark breezy spot say st pauls churchyard instance literally astonish middleaged gentleman rashly turn dark breezy spot say st pauls churchyard instance literally astonish son weak mind 's son weak mind.scrooge never paint scrooge name,perfectly convince marley die play begin would nothing remarkable marley 's take stroll night easterly wind upon marley 's rampart would middleaged gentleman rashly turn dark breezy spot say st pauls churchyard instance literally astonish middleaged gentleman rashly turn dark breezy spot say st pauls churchyard instance literally astonish son weak mind 's son weak mind.[unused0] never paint [unused0] name,[unused0],-1,middleaged|rashly|literally|paint|never|perfectly|turn|easterly|churchyard
4,1,sometimes people new business call scrooge scrooge sometimes marley scrooge answer name,sometimes people new business call [unused0] [unused0] sometimes marley [unused0] answer name,[unused0],0,sometimes
5,1,scrooge.oh scrooge tightfisted hand grindstone scrooge squeeze wrench grasping scrape clutch covetous old sinner hard sharp flint steel ever strike generous fire,[unused0].oh [unused0] tightfisted hand grindstone [unused0] squeeze wrench grasping scrape clutch covetous old sinner hard sharp flint steel ever strike generous fire,[unused0],1,grasping|tightfisted|ever|strike
6,1,cold within scrooge froze scrooge 's old feature nip scrooge 's pointed nose shrivel scrooge 's cheek stiffen scrooge 's gait,cold within [unused0] froze [unused0] 's old feature nip [unused0] 's pointed nose shrivel [unused0] 's cheek stiffen [unused0] 's gait,[unused0],0,froze|pointed|nip
7,1,scrooge carry scrooge 's low temperature always scrooge,[unused0] carry [unused0] 's low temperature always [unused0],[unused0],-1,carry|always
8,1,scrooge iced scrooge 's office dogday,[unused0] iced [unused0] 's office dogday,[unused0],0,iced
9,1,heavy rain snow hail sleet often come handsomely scrooge never did.nobody ever stop scrooge street say gladsome look nobody 's scrooge scrooge come see nobody beggar implore scrooge bestow trifle child ask scrooge oclock man woman ever scrooge 's life inquire way place scrooge,heavy rain snow hail sleet often come handsomely [unused0] never did.nobody ever stop [unused0] street say gladsome look nobody 's [unused0] [unused0] come see nobody beggar implore [unused0] bestow trifle child ask [unused0] oclock man woman ever [unused0] 's life inquire way place [unused0],[unused0],-1,handsomely|often|come|beggar|never|see|look|ever|stop
10,1,scrooge could hear people court outside go wheeze beat people court outside 's hand upon people court outside 's breast stamp people court outside 's foot upon pavement stone warm people court outside,[unused0] could hear people court outside go wheeze beat people court outside 's hand upon people court outside 's breast stamp people court outside 's foot upon pavement stone warm people court outside,[unused0],1,hear
11,1,see fog come droop obscure everything one might think nature live hard brew large scale.the door countinghouse open scrooge might keep scrooge 's eye upon scrooge 's clerk dismal little cell beyond sort tank copy letter,see fog come droop obscure everything one might think nature live hard brew large scale.the door countinghouse open [unused0] might keep [unused0] 's eye upon [unused0] 's clerk dismal little cell beyond sort tank copy letter,[unused0],-1,come|think|brew|keep|see
12,1,scrooge small fire clerk fire much small clerk fire look like one coal,[unused0] small fire clerk fire much small clerk fire look like one coal,[unused0],-1,much
13,1,scrooge could replenish clerk fire scrooge keep coalbox scrooge 's room,[unused0] could replenish clerk fire [unused0] keep coalbox [unused0] 's room,[unused0],-1,replenish|keep
14,1,cheerful voice voice scrooge nephew come upon scrooge quickly first intimation scrooge scrooge nephew come upon quickly first intimation approach 's approach.bah say scrooge,cheerful voice voice [unused0] nephew come upon [unused0] quickly first intimation [unused0] [unused0] nephew come upon quickly first intimation approach 's approach.bah say [unused0],[unused0],1,come|quickly
15,1,scrooge nephew come upon quickly first intimation approach heated scrooge nephew come upon quickly first intimation approach rapid walking fog frost scrooge nephew come upon quickly first intimation approach scrooge nephew come upon quickly first intimation approach glow,[unused0] nephew come upon quickly first intimation approach heated [unused0] nephew come upon quickly first intimation approach rapid walking fog frost [unused0] nephew come upon quickly first intimation approach [unused0] nephew come upon quickly first intimation approach glow,[unused0],0,come|walking|heated|quickly
16,1,scrooge nephew come upon quickly first intimation approach 's face ruddy handsome,[unused0] nephew come upon quickly first intimation approach 's face ruddy handsome,[unused0],1,come|ruddy|quickly
17,1,scrooge nephew come upon quickly first intimation approach 's eye sparkle scrooge nephew come upon quickly first intimation approach 's breath smoke again.christmas humbug scrooge say scrooge nephew come upon quickly first intimation approach,[unused0] nephew come upon quickly first intimation approach 's eye sparkle [unused0] nephew come upon quickly first intimation approach 's breath smoke again.christmas humbug [unused0] say [unused0] nephew come upon quickly first intimation approach,[unused0],1,come|quickly
18,1,scrooge nephew come upon quickly first intimation approach mean scrooge surei say scrooge,[unused0] nephew come upon quickly first intimation approach mean [unused0] surei say [unused0],[unused0],0,come|quickly
