,chapter,text,mask_sent,char,sentiment,keywords
0,1,twice alice peep book sister read book sister read picture conversation book sister read use book think alice without picture conversationsso alice consider alice 's mind well alice could hot day make alice feel sleepy stupid whether pleasure make daisychain would worth trouble get pick daisy suddenly white rabbit pink eye run close alice.there nothing remarkable ran,twice [unused0] peep book sister read book sister read picture conversation book sister read use book think [unused0] without picture conversationsso [unused0] consider [unused0] 's mind well [unused0] could hot day make [unused0] feel sleepy stupid whether pleasure make daisychain would worth trouble get pick daisy suddenly white rabbit pink eye run close [unused0].there nothing remarkable ran,[unused0],-1,make|twice|worth|suddenly|read|run|think|get|close|feel|use|hot|consider
1,1,alice think much way hear white rabbit pink eye say white rabbit pink eye oh dear oh dear white rabbit pink eye shall late alice think afterwards occur alice alice ought wonder time seem quite natural,[unused0] think much way hear white rabbit pink eye say white rabbit pink eye oh dear oh dear white rabbit pink eye shall late [unused0] think afterwards occur [unused0] [unused0] ought wonder time seem quite natural,[unused0],1,late|think|wonder|occur|quite|seem
2,1,white rabbit pink eye actually take watch white rabbit pink eye 's waistcoatpocket look watch hurry alice start alice 's foot flash across alice 's mind alice never see rabbit either waistcoatpocket watch take waistcoatpocket burn curiosity alice run across field white rabbit pink eye fortunately time see white rabbit pink eye pop large rabbithole hedge.in another moment go alice white rabbit pink eye never consider world alice get again.a large rabbithole hedge go straight like tunnel way dip suddenly suddenly alice moment think stop alice alice find alice fall deep well.either deep well deep alice fall slowly alice plenty time alice go look alice wonder go happen next,white rabbit pink eye actually take watch white rabbit pink eye 's waistcoatpocket look watch hurry [unused0] start [unused0] 's foot flash across [unused0] 's mind [unused0] never see rabbit either waistcoatpocket watch take waistcoatpocket burn curiosity [unused0] run across field white rabbit pink eye fortunately time see white rabbit pink eye pop large rabbithole hedge.in another moment go [unused0] white rabbit pink eye never consider world [unused0] get again.a large rabbithole hedge go straight like tunnel way dip suddenly suddenly [unused0] moment think stop [unused0] [unused0] find [unused0] fall deep well.either deep well deep [unused0] fall slowly [unused0] plenty time [unused0] go look [unused0] wonder go happen next,[unused0],1,find|fortunately|straight|actually|suddenly|stop|pink|take|run|never|get|think|deep|well|slowly|next|see|consider
3,1,alice take jar one shelf alice pass,[unused0] take jar one shelf [unused0] pass,[unused0],0,take
4,1,alice like drop jar fear kill somebody underneath manage put jar one cupboard alice fall past jar.well think alice alice fall alice shall think nothing tumble stair brave ’ll think alice home alice would say anything even alice fall top house likely true.down,[unused0] like drop jar fear kill somebody underneath manage put jar one cupboard [unused0] fall past jar.well think [unused0] [unused0] fall [unused0] shall think nothing tumble stair brave ’ll think [unused0] home [unused0] would say anything even [unused0] fall top house likely true.down,[unused0],-1,fall|even|put|jar|think|brave|kill
5,1,would fall never come end alice wonder many mile alice’ve fall time alice say aloud,would fall never come end [unused0] wonder many mile [unused0]’ve fall time [unused0] say aloud,[unused0],0,never|come|wonder|fall
6,1,alice must get somewhere near centre earth,[unused0] must get somewhere near centre earth,[unused0],0,somewhere|get
7,1,let alice see,let [unused0] see,[unused0],0,let|see
8,1,would four thousand mile alice think see alice learn several thing sort alice 's lesson schoolroom though good opportunity show alice 's knowledge one listen alice still good practice say yes ’s right distance alice wonder latitude longitude alice’ve get alice idea latitude longitude either think nice grand word say.presently alice begin,would four thousand mile [unused0] think see [unused0] learn several thing sort [unused0] 's lesson schoolroom though good opportunity show [unused0] 's knowledge one listen [unused0] still good practice say yes ’s right distance [unused0] wonder latitude longitude [unused0]’ve get [unused0] idea latitude longitude either think nice grand word say.presently [unused0] begin,[unused0],1,longitude|thousand|begin|think|wonder|still|see|show
9,1,please ma’am country new zealand australia alice try curtsey alice speak fancy curtseying ’re fall air think alice could manage fancy curtseying ignorant little girl ma’am’ll think alice ask ’ll never ask,please ma’am country new zealand australia [unused0] try curtsey [unused0] speak fancy curtseying ’re fall air think [unused0] could manage fancy curtseying ignorant little girl ma’am’ll think [unused0] ask ’ll never ask,[unused0],-1,ask|please|never|think|manage|curtseying
10,1,dinah’ll miss alice much tonight alice think dinah cat,dinah’ll miss [unused0] much tonight [unused0] think dinah cat,[unused0],-1,think
11,1,alice hope ’ll remember dinah 's saucer milk teatime,[unused0] hope ’ll remember dinah 's saucer milk teatime,[unused0],1,remember
12,1,dinah alice wish dinah alice mouse air alice’m afraid dinah might catch bat bat ’s like mouse know,dinah [unused0] wish dinah [unused0] mouse air [unused0]’m afraid dinah might catch bat bat ’s like mouse know,[unused0],1,know|afraid|mouse|catch
13,1,cat eat bat alice wonder alice begin get rather sleepy go say alice dreamy sort way cat eat bat cat eat bat sometimes bat eat cat see alice could answer either question much matter way alice put,cat eat bat [unused0] wonder [unused0] begin get rather sleepy go say [unused0] dreamy sort way cat eat bat cat eat bat sometimes bat eat cat see [unused0] could answer either question much matter way [unused0] put,[unused0],-1,matter|sometimes|dreamy|put|get|much|see|answer|begin|rather
14,1,alice feel alice doze begin dream alice walk hand hand dinah say dinah earnestly dinah tell alice truth,[unused0] feel [unused0] doze begin dream [unused0] walk hand hand dinah say dinah earnestly dinah tell [unused0] truth,[unused0],1,earnestly|tell|doze|dinah|begin
15,1,alice look dark overhead,[unused0] look dark overhead,[unused0],0,
16,1,alice another long passage white rabbit pink eye still sight hurry another long passage,[unused0] another long passage white rabbit pink eye still sight hurry another long passage,[unused0],0,still
17,1,away go alice like wind time hear white rabbit pink eye say white rabbit pink eye turn corner oh white rabbit pink eye 's ear whisker late ’s get alice close behind white rabbit pink eye alice turn corner white rabbit pink eye long see,away go [unused0] like wind time hear white rabbit pink eye say white rabbit pink eye turn corner oh white rabbit pink eye 's ear whisker late ’s get [unused0] close behind white rabbit pink eye [unused0] turn corner white rabbit pink eye long see,[unused0],-1,pink|get|away|long|turn|close|see
18,1,alice find alice long low hall light row lamp hang roof.there door round long low hall light row lamp hang roof door round hall lock,[unused0] find [unused0] long low hall light row lamp hang roof.there door round long low hall light row lamp hang roof door round hall lock,[unused0],-1,find|long
19,1,alice way one side try every door alice walk sadly middle wonder alice ever get again.suddenly alice come upon little threelegge table make solid glass,[unused0] way one side try every door [unused0] walk sadly middle wonder [unused0] ever get again.suddenly [unused0] come upon little threelegge table make solid glass,[unused0],-1,upon|come|get|walk|sadly|ever
20,1,however second time round alice come upon low curtain alice notice behind low curtain notice little door fifteen inch high,however second time round [unused0] come upon low curtain [unused0] notice behind low curtain notice little door fifteen inch high,[unused0],-1,come|notice|however
21,1,alice try tiny golden key lock alice 's great delight tiny golden key alice open little door fifteen inch high find little door fifteen inch high lead small passage much large rathole,[unused0] try tiny golden key lock [unused0] 's great delight tiny golden key [unused0] open little door fifteen inch high find little door fifteen inch high lead small passage much large rathole,[unused0],1,
22,1,alice kneel look along small passage much large rathole lovely garden ever see,[unused0] kneel look along small passage much large rathole lovely garden ever see,[unused0],1,lovely|kneel|ever|see
