,chapter,text,mask_sent,char,mfd2,mfd_word
0,8,"little town, quiet village every day like one little town full little people waking say...","little town, quiet village every day like one little town full little people waking say...",[unused0],X,X
1,8,belle looks clock church counting am.wait it.,[unused0] looks clock church counting am.wait it.,[unused0],sanctity.virtue,"church,churches"
2,9,"old vagrant one notice belle, smiling heras hes tossed inside holding tank two gendarmes.","old vagrant one notice [unused0], smiling heras hes tossed inside holding tank two gendarmes.",[unused0],X,X
3,9,"belle weaves villagers, making invisible. passes harried baker, buys baguette","[unused0] weaves villagers, making invisible. passes harried baker, buys baguette",[unused0],X,X
4,9,goes baker tray like always old bread rolls sell,goes baker tray like always old bread rolls sell,[unused0],X,X
5,9,"belle approaches jean, potter, tending mule.","[unused0] approaches jean, potter, tending mule.",[unused0],X,X
6,9,"good morning, monsieur jean.have lost something","good morning, monsieur jean.have lost something",[unused0],X,X
7,9,return book pere robert. two lovers fair verona.,return book pere robert. two lovers fair verona.,[unused0],fairness.virtue,fair
8,9,must provincial life,must provincial life,[unused0],X,X
9,10,belle escapes peace serenity country church. jolly pere robert looks enters. pere robert well isnt bookwormin town. run tothis week,[unused0] escapes peace serenity country church. jolly pere robert looks enters. pere robert well isnt bookwormin town. run tothis week,[unused0],loyalty.virtue,"countries,country"
10,10,two cities northern italy.belle didnt want come back.,two cities northern italy.[unused0] didnt want come back.,[unused0],X,X
11,10,"belle hands romeo juliet pere robert, dutifully returns shelves towns library. couple dozen books total. remains hopeful.","[unused0] hands romeo juliet pere robert, dutifully returns shelves towns library. couple dozen books total. remains hopeful.",[unused0],X,X
12,10,"thank you, pere robert. library almost makes small corner theworld feel big.","thank you, pere robert. library almost makes small corner theworld feel big.",[unused0],X,X
13,10,smiles.belle picks new book smiles back.,smiles.[unused0] picks new book smiles back.,[unused0],X,X
14,11,"crowded market set up. bellepasses tom, dick, stanleyall burly, tough guys.","crowded market set up. [unused0]passes tom, dick, stanleyall burly, tough guys.",[unused0],X,X
15,11,belle buys jam glides past apothecarys open cart.,[unused0] buys jam glides past apothecarys open cart.,[unused0],X,X
16,11,"behind her, florists pass huge bouquets. glorious parade belle remains oblivious continues read...belle oh... isnt amazing favorite part youll see heres meets prince charming wont discover til chapter three","behind her, florists pass huge bouquets. glorious parade [unused0] remains oblivious continues read...[unused0] oh... isnt amazing favorite part youll see heres meets prince charming wont discover til chapter three",[unused0],sanctity.virtue,glorious
17,11,belle slips crowd.,[unused0] slips crowd.,[unused0],X,X
18,12,"looking village gaston, dashingly handsomewar hero clad dazzling gold breastplate. thingbigger muscles ego. strapped saddle musket spoils hunt. rabbit, fox, fowl. riding beside gastons long suffering aide de camp devoted best friend lefou.","looking village [unused2], dashingly handsomewar hero clad dazzling gold breastplate. thingbigger muscles ego. strapped saddle musket spoils hunt. rabbit, fox, fowl. riding beside [unused2]s long suffering aide de camp devoted best friend lefou.",[unused2],care.vice,suffering
19,12,"look her, lefou. future wife. belle beautiful girl village. makes best.","look her, lefou. future wife. [unused0] beautiful girl village. makes best.",[unused2],X,X
20,12,"yes, ever since war ive missing something. shes girl ive met gives sense of...","yes, ever since war ive missing something. shes girl ive met gives sense of...",[unused2],loyalty.virtue,war
21,12,gastondont know means.,[unused2]dont know means.,[unused2],X,X
22,13,"singing right moment gaston met her, saw gaston said shes gorgeous gaston fell town theres beautiful im making plans woo marry belle","singing right moment [unused2] met her, saw [unused2] said shes gorgeous [unused2] fell town theres beautiful im making plans woo marry [unused0]",[unused2],"sanctity.virtue,fairness.virtue","rights,marry"
23,13,"gaston dismounts, lasses get splattered mud horses hooves. lefou shoots look, whispers.","[unused2] dismounts, lasses get splattered mud horses hooves. lefou shoots look, whispers.",[unused2],sanctity.vice,mud
24,13,"noticing belle crossing market, gaston starts pursuit. grabs flowers perfume stall makes bouquet. make way market.","noticing [unused0] crossing market, [unused2] starts pursuit. grabs flowers perfume stall makes bouquet. make way market.",[unused0],X,X
25,13,"slightly breath, gaston finally catches belle.","slightly breath, [unused2] finally catches belle.",[unused2],X,X
26,13,"good morning, bellewonderful book youhave there.","good morning, [unused0]wonderful book youhave there.",[unused2],X,X
27,13,youve read,youve read,[unused0],X,X
28,13,"well, one. but, know.books.hands flowers dinner table. shall gaston join eveningbellesorry, tonight.","well, one. but, know.books.hands flowers dinner table. shall [unused2] join evening[unused0]sorry, tonight.",[unused2],X,X
29,13,"no, lefou. ones play hard get always thesweetest prey.","no, lefou. ones play hard get always thesweetest prey.",[unused2],X,X
30,13,"outrageously attractive, isntit","outrageously attractive, isntit",[unused2],X,X
