,chapter,text,mask_sent,char,sentiment,keywords
0,10,"ellis enters, removes cap waits chair.","[unused1] enters, removes cap waits chair.",[unused1],0,removes
1,10,"ellis sits, tries slouch. chair uncomfortable.","[unused1] sits, tries slouch. chair uncomfortable.",[unused1],-1,slouch
2,11,"theres con like every prison america, narrator guess. im guy get you. cigarettes, bag reefer youre partial, bottle brandy celebrate kids high school graduation. damn near anything, within reason.","theres con like every prison america, narrator guess. im guy get you. cigarettes, bag reefer youre partial, bottle br[unused0] celebrate kids high school graduation. damn near anything, within reason.",[unused0],1,con|get|you
3,11,"ellis joined heywood, skeet, floyd, jigger, ernie, snooze. cons crowd fence gawk jeer, ellis group mount bleachers settle comfortably.","[unused1] joined heywood, skeet, floyd, jigger, ernie, snooze. cons crowd fence gawk jeer, [unused1] group mount bleachers settle comfortably.",[unused1],1,crowd|joined|settle|comfortably
4,12,andy came shawshank prison early murdering wife fella bangin.,[unused0] came shawshank prison early murdering wife fella bangin.,[unused0],-1,murdering|came
5,12,"byron hadley, captain guard, slams baton andys back. andy goes knees, gasping pain. jeers shouts spectators.","byron hadley, captain guard, slams baton [unused0]s back. [unused0] goes knees, gasping pain. jeers shouts spectators.",[unused0],-1,back|goes|gasping|slams|captain
6,14,"con does. guard penlight teeth spreads cheeks, peers ass, nods. andy next up. gets treatment.","con does. guard penlight teeth spreads cheeks, peers ass, nods. [unused0] next up. gets treatment.",[unused0],-1,does|guard|gets|ass
7,16,ellis listens clanging below. watches andy others brought nd tier.,[unused1] listens clanging below. watches andy others brought nd tier.,[unused1],0,listens|brought|clanging
8,16,andy led past given cell end tier.,[unused0] led past given cell end tier.,[unused0],0,led|given
9,17,"bars slam home. andy alone cell, clutching clothes. gazes around new surroundings, taking in. slowly begins dress himself...","bars slam home. [unused0] alone cell, clutching clothes. gazes around new surroundings, taking in. slowly begins dress himself...",[unused0],-1,begins|taking|gazes|himself|slam|clutching|alone|slowly
10,19,"ellis lies bunk us, tossing baseball toward ceiling catching again. pauses, listening. footsteps approach below, unhurried, echoing hollowly stone.","[unused1] lies bunk us, tossing baseball toward ceiling catching again. pauses, listening. footsteps approach below, unhurried, echoing hollowly stone.",[unused1],-1,hollowly|again|listening|echoing|tossing|lies|catching|bunk
11,27,"loud buzzer. master locks thrown ka thump cons step cells, lining tiers. guards holler head counts head bull, jots clipboard. ellis peers andy, checking out. andy stands line, collar buttoned, hair combed.","loud buzzer. master locks thrown ka thump cons step cells, lining tiers. guards holler head counts head bull, jots clipboard. ellis peers [unused0], checking out. [unused0] stands line, collar buttoned, hair combed.",[unused0],0,checking|lining|buttoned|out|head|thrown|clipboard
12,28,"andy goes breakfast line, gets scoop glop tray. pan andy noise confusion...and discover bogs diamond rooster macbride watching andy go by. bogs sizes andy salacious gleam eye, mutters something rooster. rooster laughs.","[unused0] goes breakfast line, gets scoop glop tray. pan [unused0] noise confusion...and discover bogs diamond rooster macbride watching [unused0] go by. bogs sizes [unused0] salacious gleam eye, mutters something rooster. rooster laughs.",[unused0],1,diamond|gets|sizes|discover|watching|goes|laughs|breakfast
13,28,"andy passes maggot brooks. brooks examines it, rolling fingertips like man checking fine cigar. andy riveted apprehension.","[unused0] passes maggot brooks. brooks examines it, rolling fingertips like man checking fine cigar. [unused0] riveted apprehension.",[unused0],1,examines|checking|rolling|riveted|maggot
14,29,"deafening noise industrial washers presses. andy works laundry line. nightmarish job. hes new it. bob, con foreman, elbows aside shows done.","deafening noise industrial washers presses. [unused0] works laundry line. nightmarish job. hes new it. bob, con foreman, elbows aside shows done.",[unused0],-1,works|elbows|hes|aside|shows|done|deafening
15,31,"andy lies staring darkness, unable sleep.","[unused0] lies staring darkness, unable sleep.",[unused0],-1,staring|lies
16,32,"andy squats, motions ellis join him. andy grabs handful dirt sifts hands. finds pebble rubs clean. nice milky glow. tosses ellis.","[unused0] squats, motions [unused1] join him. [unused0] grabs handful dirt sifts hands. finds pebble rubs clean. nice milky glow. tosses [unused1].",[unused1],1,him
17,32,ellis flicks gaze past andy. bogs watching them.,[unused1] flicks gaze past [unused0]. bogs watching them.,[unused1],0,them|gaze|watching
18,32,shake. andy strolls off. ellis watches go.,shake. andy strolls off. [unused1] watches go.,[unused1],-1,off
19,33,"ellis gets breakfast heads table. andy falls step, slips tightly folded square paper.","ellis gets breakfast heads table. [unused0] falls step, slips tightly folded square paper.",[unused0],0,gets|folded|slips|falls|tightly
20,34,"lying bunk, ellis unfolds square. ten dollar bill.","lying bunk, [unused1] unfolds square. ten dollar bill.",[unused1],-1,ten|lying
21,37,ellis deposits dirty bundle moves line clean sheets handed out.,[unused1] deposits dirty bundle moves line clean sheets handed out.,[unused1],-1,dirty|out|handed
22,38,andy right. narrator finally got joke. would take man six hundellis years tunnel wall one these.,[unused0] right. narrator finally got joke. would take man six hund[unused1] years tunnel wall one these.,[unused0],1,got|tunnel|right|take|wall|finally
23,39,"andys hand snakes bars makes object disappear. hand comes back deposits small slip folded paper along cigarettes. brooks turns cart around goes back. pauses, sorting books long enough ellis snag slip paper. brooks continues on, scooping cigarettes cart pocket.","andys hand snakes bars makes object disappear. hand comes back deposits small slip folded paper along cigarettes. brooks turns cart around goes back. pauses, sorting books long enough [unused1] snag slip paper. brooks continues on, scooping cigarettes cart pocket.",[unused1],1,continues|sorting|long|back|comes|folded|scooping|cart|turns|goes|enough|makes
24,40,ellis unfolds slip paper. penciled neatly single word. thanks.,[unused1] unfolds slip paper. penciled neatly single word. thanks.,[unused1],1,neatly|penciled
25,41,"assaulted deafening noise laundry line. andy job, getting good it.","assaulted deafening noise laundry line. [unused0] job, getting good it.",[unused0],-1,getting|deafening|assaulted
26,42,"andy backs up, holding bay, trying maneuver maze. sisters keep coming, tense guarded, eyes riveted gauging every move, trying outflank him. andy trips old gaint sugglies. thats takes. theyre instant, kicking stomping.","[unused0] backs up, holding bay, trying maneuver maze. sisters keep coming, tense guarded, eyes riveted gauging every move, trying outflank him. [unused0] trips old gaint sugglies. thats takes. theyre instant, kicking stomping.",[unused0],-1,gauging|backs|him|kicking|trying|holding|guarded|coming|riveted|outflank|keep|takes
27,42,"andy starts screaming, muffled rag. camera pulls back, slowly widening. big washex blocks view. see andys screaming face men holding down...","[unused0] starts screaming, muffled rag. camera pulls back, slowly widening. big washex blocks view. see [unused0]s screaming face men holding down...",[unused0],-1,see|pulls|back|widening|starts|holding|screaming|down|muffled|slowly
28,42,"every often, andy would show fresh bruises.","every often, [unused0] would show fresh bruises.",[unused0],1,show|often
29,44,"...the half, landed solitary. warden nortons grain drain vacation. bread, water, privacy could want.","...the half, landed solitary. warden [unused2]s grain drain vacation. bread, water, privacy could want.",[unused2],1,landed|grain|want
30,45,andy working line.,[unused0] working line.,[unused0],0,working
31,45,"thats went andy. routine. narrator believe first two years worst him. narrator also believe things gone way, place would got best him. then, spring powers decided that...","thats went [unused0]. routine. narrator believe first two years worst him. narrator also believe things gone way, place would got best him. then, spring powers decided that...",[unused0],1,then|believe|also|got|him|worst|spring|gone|decided|went
32,46,warden norton addresses assembled cons via bullhorn.,warden [unused2] addresses assembled cons via bullhorn.,[unused2],0,assembled
33,46,ellis glances around friends. andy also catches eye.,[unused1] glances around friends. [unused0] also catches eye.,[unused0],1,also|catches
34,50,"ellis glances shocked see andy standing up, listening guards talk.","[unused1] glances shocked see andy standing up, listening guards talk.",[unused1],-1,standing|shocked|listening|see
35,50,andy tosses padd bucket strolls toward hadley.,[unused0] tosses padd bucket strolls toward hadley.,[unused0],0,padd
36,52,"ellis knocks back another sip, enjoying bitter cold tongue warm sun face.","[unused1] knocks back another sip, enjoying bitter cold tongue warm sun face.",[unused1],1,enjoying|knocks|back
37,52,"andy, spent break hunkeellis shade, strange little smile face, watching us drink beer.","[unused0], spent break hunke[unused1] shade, strange little smile face, watching us drink beer.",[unused0],1,drink|spent|watching
38,53,andy ellis play checkers. ellis makes move.,[unused0] [unused1] play checkers. [unused1] makes move.,[unused1],1,play|makes
39,53,"ellis takes gentle rebuff, keeps playing.","[unused1] takes gentle rebuff, keeps playing.",[unused1],1,keeps|takes
40,54,"andy lies bunk lights out, polishing fragment quartz light moon. pauses, glancing names scratched wall. rises, makes sure coast clear, starts scratching name cement rock hammer, adding record.","[unused0] lies bunk lights out, polishing fragment quartz light moon. pauses, glancing names scratched wall. rises, makes sure coast clear, starts scratching name cement rock hammer, adding record.",[unused0],1,scratched|scratching|polishing|makes|out|lies|glancing|starts|adding|bunk
41,55,"andy nods, embarrassed. gets hurries out. ellis grins, turns back movie.","andy nods, embarrassed. gets hurries out. [unused1] grins, turns back movie.",[unused1],-1,gets|hurries|back|embarrassed|turns|out
42,56,"andy exits theater freezes tracks. two dark figures loom corridor, blocking path. rooster pete. andy turns back runs right bogs. instant bear hug. sisters like flash. kick door open drag","[unused0] exits theater freezes tracks. two dark figures loom corridor, blocking path. rooster pete. [unused0] turns back runs right bogs. instant bear hug. sisters like flash. kick door open drag",[unused0],1,back|loom|right|turns|kick|blocking
43,56,"andy nods, embarrassed. gets hurries out. ellis grins, turns back movie.","andy nods, embarrassed. gets hurries out. [unused1] grins, turns back movie.",[unused1],-1,gets|hurries|back|embarrassed|turns|out
44,57,"andy exits theater freezes tracks. two dark figures loom corridor, blocking path. rooster pete. andy turns back runs right bogs. instant bear hug. sisters like flash. kick door open drag","[unused0] exits theater freezes tracks. two dark figures loom corridor, blocking path. rooster pete. [unused0] turns back runs right bogs. instant bear hug. sisters like flash. kick door open drag",[unused0],1,back|loom|right|turns|kick|blocking
