,chapter,text,mask_sent,char,mfd2,mfd_word
0,1,child except one soon know child except one grow way wendy know,child except one soon know child except one grow way [unused1] know,[unused1],care.virtue,child
1,1,one day wendy two year old wendy play garden wendy pluck another flower run another flower wendy 's mother,one day [unused1] two year old [unused1] play garden [unused1] pluck another flower run another flower [unused1] 's mother,[unused1],care.virtue,"mother,mothers"
2,1,suppose wendy must look rather delightful mother put mother 's hand mother 's heart cry oh wendy remain like ever pass subject henceforth wendy know wendy must grow,suppose [unused1] must look rather delightful mother put mother 's hand mother 's heart cry oh [unused1] remain like ever pass subject henceforth [unused1] know [unused1] must grow,[unused1],"care.vice,care.virtue","mother,crying,cries,mothers"
3,1,sweet mocking mouth one kiss sweet mocking mouth wendy could never get though sweet mocking mouth perfectly conspicuous righthand corner.the way mother win wendy,sweet mocking mouth one kiss sweet mocking mouth [unused1] could never get though sweet mocking mouth perfectly conspicuous righthand corner.the way mother win [unused1],[unused1],care.virtue,"mother,mothers"
4,1,baby without face mother 's guesses.wendy come first john michael.for week two wendy come doubtful whether would able keep wendy wendy another mouth feed,baby without face mother 's guesses.[unused1] come first john michael.for week two [unused1] come doubtful whether would able keep [unused1] [unused1] another mouth feed,[unused1],care.virtue,"mother,feeds,feed,mothers"
5,1,wendy want risk come might mother 's way,[unused1] want risk come might mother 's way,[unused1],care.virtue,"mother,mothers"
6,1,way pencil piece paper wendy confuse mother suggestion mother begin beginning again.now interrupt mother would beg wendy.her mother one pound seventeen two six office,way pencil piece paper [unused1] confuse mother suggestion mother begin beginning again.now interrupt mother would beg [unused1].her mother one pound seventeen two six office,[unused1],care.virtue,"mother,mothers"
7,1,last wendy get mump reduce twelve six two kind measle treat one.there excitement john michael even narrow squeak,last [unused1] get mump reduce twelve six two kind measle treat one.there excitement john michael even narrow squeak,[unused1],X,X
8,1,nurse resent visit nursery mother 's friend darling ’s friend come nurse first whip michael 's pinafore put michael one blue braiding smooth wendy make dash john 's hair.no nursery could possibly conduct correctly mother know conduct yet mother sometimes wonder uneasily whether neighbour talked.her mother mother 's position city consider.their nurse also trouble mother another way,nurse resent visit nursery mother 's friend darling ’s friend come nurse first whip michael 's pinafore put michael one blue braiding smooth [unused1] make dash john 's hair.no nursery could possibly conduct correctly mother know conduct yet mother sometimes wonder uneasily whether neighbour talked.her mother mother 's position city consider.their nurse also trouble mother another way,[unused1],care.virtue,"mother,nurse,mothers,nurses,nursery"
9,1,never simple happy family coming peter pan.her mother first hear peter pan peter pan tidy peter pan 's child ’s mind,never simple happy family coming [unused0] pan.her mother first hear [unused0] pan [unused0] pan tidy [unused0] pan 's child ’s mind,[unused0],"loyalty.virtue,care.virtue","mother,family,mothers,families,child"
