,chapter,text,mask_sent,char,mfd2,mfd_word
0,1,gatsby man give name book exempt 's reaction gatsby represent everything unaffected scorn,[unused0] man give name book exempt 's reaction [unused0] represent everything unaffected scorn,[unused0],X,X
1,1,daisy 's second cousin remove my’d know tom college,[unused1] 's second cousin remove my’d know [unused2] college,[unused1],X,X
2,1,hard realize man 's generation wealthy enough brought.why tom buchanans come east know,hard realize man 's generation wealthy enough brought.why [unused2] buchanans come east know,[unused2],X,X
3,1,tom buchanans spend year france particular reason drift unrestfully wherever people play polo rich together,[unused2] buchanans spend year france particular reason drift unrestfully wherever people play polo rich together,[unused2],loyalty.virtue,together
4,1,permanent move say daisy telephone believe sight daisy 's heart feel tom would drift forever seek little wistfully dramatic turbulence irrecoverable football game.and happen warm windy evening drive east egg see two old friend scarcely know,permanent move say [unused1] telephone believe sight [unused1] 's heart feel [unused2] would drift forever seek little wistfully dramatic turbulence irrecoverable football game.and happen warm windy evening drive east egg see two old friend scarcely know,[unused2],X,X
5,1,front break line french window glow reflect gold wide open warm windy afternoon tom stand tom 's leg apart front porch.tom change since tom 's new year,front break line french window glow reflect gold wide open warm windy afternoon [unused2] stand [unused2] 's leg apart front porch.[unused2] change since [unused2] 's new year,[unused2],X,X
6,1,touch paternal contempt speak voice gruff husky tenor even toward people tom like man new hate tom 's guts.now think tom 's opinion matter final tom seem say tom’m strong man senior society never intimate always impression tom approve want like tom harsh defiant wistfulness tom 's own.we talk minute front porch.i’ve get nice place tom say tom 's eye flash restlessly.turne around one arm tom move broad flat hand along front vista include front vista 's sweep sunken italian garden half acre deep pungent rose snubnosed motorboat bump tide offshore.a nice place belong demaine oil man tom turn around politely abruptly,touch paternal contempt speak voice gruff husky tenor even toward people [unused2] like man new hate [unused2] 's guts.now think [unused2] 's opinion matter final [unused2] seem say [unused2]’m strong man senior society never intimate always impression [unused2] approve want like [unused2] harsh defiant wistfulness [unused2] 's own.we talk minute front porch.i’ve get nice place [unused2] say [unused2] 's eye flash restlessly.turne around one arm [unused2] move broad flat hand along front vista include front vista 's sweep sunken italian garden half acre deep pungent rose snubnosed motorboat bump tide offshore.a nice place belong demaine oil man [unused2] turn around politely abruptly,[unused2],"care.vice,loyalty.virtue","belong,harsh"
7,1,boom tom shut rear window catch wind die bright rosycoloure space fragilely bind house french window either end curtain rug two young woman balloon slowly floor.the young two young woman stranger,boom [unused2] shut rear window catch wind die bright rosycoloure space fragilely bind house french window either end curtain rug two young woman balloon slowly floor.the young two young woman stranger,[unused2],care.vice,die
8,1,young two see corner young two 's eye young two give hint saw indeed almost surprised murmur apology disturb young two come in.the girl daisy make attempt rise girl daisy lean slightly forward conscientious expression girl daisy laugh absurd charming little laugh laugh come forward room.i’m pparalyse happiness.the girl daisy laugh girl daisy say something witty hold 's hand moment look 's face promise one world girl daisy much want see,young two see corner young two 's eye young two give hint saw indeed almost surprised murmur apology disturb young two come in.the girl [unused1] make attempt rise girl [unused1] lean slightly forward conscientious expression girl [unused1] laugh absurd charming little laugh laugh come forward room.i’m pparalyse happiness.the girl [unused1] laugh girl [unused1] say something witty hold 's hand moment look 's face promise one world girl [unused1] much want see,[unused1],X,X
9,1,way girl daisy,way girl [unused1],[unused1],X,X
10,1,irrelevant criticism make murmur less charming.at rate daisy 's lip flutter daisy nod almost imperceptibly quickly tip chin back daisy obviously totter little give daisy something fright,irrelevant criticism make murmur less charming.at rate [unused1] 's lip flutter [unused1] nod almost imperceptibly quickly tip chin back [unused1] obviously totter little give [unused1] something fright,[unused1],X,X
11,1,she’s tom buchanan hover restlessly room stop rest tom 's hand shoulder.what nicki’m bond man.who withi tell tom.never hear tom remark decisively.this annoyed my.you answer shortly,she’s [unused2] buchanan hover restlessly room stop rest [unused2] 's hand shoulder.what nicki’m bond man.who withi tell [unused2].never hear [unused2] remark decisively.this annoyed my.you answer shortly,[unused2],X,X
12,1,tom tom stay east.oh tom’ll stay east worry tom say glance daisy back tom alert something,[unused2] [unused2] stay east.oh [unused2]’ll stay east worry [unused2] say glance [unused1] back [unused2] alert something,[unused1],X,X
13,1,tom’d god damn fool live anywhere else.at point daisy say,[unused2]’d god damn fool live anywhere else.at point daisy say,[unused2],"sanctity.virtue,sanctity.vice","damn,damns,gods,god"
14,1,absolutely suddenness start first word daisy utter since come room,absolutely suddenness start first word [unused1] utter since come room,[unused1],X,X
15,1,evidently surprise daisy much daisy yawn series rapid deft movement stand room.i’m stiff daisy complain ’ve lie sofa long remember.don’t look daisy daisy retort daisy’ve try get daisy new afternoon.no thank say daisy four cocktail pantry,evidently surprise [unused1] much [unused1] yawn series rapid deft movement stand room.i’m stiff [unused1] complain ’ve lie sofa long remember.don’t look [unused1] [unused1] retort [unused1]’ve try get [unused1] new afternoon.no thank say [unused1] four cocktail pantry,[unused1],X,X
16,1,daisy’m absolutely training.daisy look daisy 's incredulously.daisy daisy take daisy 's drink drink drop bottom glass,[unused1]’m absolutely training.[unused1] look [unused1] 's incredulously.[unused1] [unused1] take [unused1] 's drink drink drop bot[unused2] glass,[unused1],X,X
17,1,daisy ever get anything beyond daisy.my look daisy wonder daisy got enjoy look daisy,[unused1] ever get anything beyond [unused1].my look [unused1] wonder [unused1] got enjoy look [unused1],[unused1],X,X
18,1,daisy slender smallbreaste girl erect carriage daisy accentuate throw daisy 's body backward shoulder like young cadet,[unused1] slender smallbreaste girl erect carriage [unused1] accentuate throw [unused1] 's body backward shoulder like young cadet,[unused1],sanctity.virtue,body
19,1,occur see daisy picture daisy somewhere before.my live east egg daisy remark contemptuously,occur see [unused1] picture [unused1] somewhere before.my live east egg [unused1] remark contemptuously,[unused1],X,X
20,1,gatsbybefore could reply daisy 's neighbour dinner announce,[unused0]before could reply [unused1] 's neighbour dinner announce,[unused0],X,X
21,1,wedge tom 's tense arm imperatively tom compel room though tom move checker another square.slenderly languidly two young woman 's hand set lightly two young woman 's hip two young woman precede rosycoloure porch open toward sunset four candle flicker table diminished wind.why candle object daisy frown,wedge [unused2] 's tense arm imperatively [unused2] compel room though [unused2] move checker another square.slenderly languidly two young woman 's hand set lightly two young woman 's hip two young woman precede rosycoloure porch open toward sunset four candle flicker table diminished wind.why candle object [unused1] frown,[unused2],X,X
22,1,daisy snap four candle daisy 's finger,[unused1] snap four candle [unused1] 's finger,[unused1],X,X
23,1,always watch long day year year miss long day year always watch long day year year miss long day year.we ought plan something yawn daisy sit table daisy get bed.all right say daisy,always watch long day year year miss long day year always watch long day year year miss long day year.we ought plan something yawn [unused1] sit table [unused1] get bed.all right say [unused1],[unused1],fairness.virtue,rights
24,1,daisy hurt little finger.we look little finger black blue.you tom daisy say accusingly,[unused1] hurt little finger.we look little finger black blue.you [unused2] [unused1] say accusingly,[unused1],care.vice,"hurts,hurt"
25,1,daisy know tom mean tom,[unused1] know tom mean tom,[unused1],X,X
26,1,’s daisy get marry brute man great big hulk physical speciman hate word hulk object tom crossly even kidding.hulking insist daisy.sometime two young woman talk unobtrusively bantering inconsequence never quite chatter cool two young woman 's white dress two young woman 's impersonal eye absence desire,’s [unused1] get marry brute man great big hulk physical speciman hate word hulk object [unused2] crossly even kidding.hulking insist [unused1].sometime two young woman talk unobtrusively bantering inconsequence never quite chatter cool two young woman 's white dress two young woman 's impersonal eye absence desire,[unused2],sanctity.virtue,marry
27,1,tom’ve get terrible pessimist thing,[unused2]’ve get terrible pessimist thing,[unused2],X,X
28,1,tom read deep book long word deep book long word,[unused2] read deep book long word deep book long word,[unused2],X,X
29,1,tom work whole thing,[unused2] work whole thing,[unused2],X,X
30,1,dominant race watch race control things.we’ve get beat race whisper daisy wink ferociously toward fervent sun.you ought live california begin daisy tom interrupt daisy shift heavily tom 's chair.this idea ’re nordic,dominant race watch race control things.we’ve get beat race whisper [unused1] wink ferociously toward fervent sun.you ought live california begin [unused1] [unused2] interrupt [unused1] shift heavily [unused2] 's chair.this idea ’re nordic,[unused1],authority.virtue,"dominant,controls,control"
31,1,tom infinitesimal hesitation tom include daisy slight nod daisy wink,[unused2] infinitesimal hesitation [unused2] include [unused1] slight nod [unused1] wink,[unused2],X,X
32,1,almost immediately telephone rang inside butler leave front porch daisy seize upon momentary interruption lean towards my.i’ll tell family secret daisy whisper enthusiastically,almost immediately telephone rang inside butler leave front porch [unused1] seize upon momentary interruption lean towards my.i’ll tell family secret [unused1] whisper enthusiastically,[unused1],loyalty.virtue,"family,families"
33,1,tom 's absence quicken something within daisy daisy lean forward voice glowing singing.daisy love see daisy 's table,[unused2] 's absence quicken something within [unused1] [unused1] lean forward voice glowing singing.[unused1] love see [unused1] 's table,[unused1],care.virtue,"loves,love"
34,1,daisy turn daisy confirmation,[unused1] turn [unused1] confirmation,[unused1],X,X
35,1,daisy extemporize stir warmth flow daisy daisy 's heart try come conceal one breathless thrilling word,[unused1] extemporize stir warmth flow [unused1] [unused1] 's heart try come conceal one breathless thrilling word,[unused1],X,X
36,1,suddenly daisy throw daisy napkin table excuse daisy go house.we exchange short glance consciously devoid meaning,suddenly [unused1] throw [unused1] napkin table excuse [unused1] go house.we exchange short glance consciously devoid meaning,[unused1],X,X
37,1,speak daisy sit alertly say sh warning voice,speak [unused1] sit alertly say sh warning voice,[unused1],X,X
