,chapter,text,mask_sent,char,sentiment,keywords
0,2,"super. marseille, france december heavy rain falls joe shape, s, wears black hat holds black umbrella bangs window small guardhouse front large gated prison. joe sneezing holds identification card guard.","super. marseille, france december heavy rain falls [unused2] shape, s, wears black hat holds black umbrella bangs window small guardhouse front large gated prison. [unused2] sneezing holds identification card guard.",[unused2],1,falls|gated|wears|window|sneezing|holds
1,3,"joe walking long corridor inside prison, struggling close umbrella faces warden garren two guards.","[unused2] walking long corridor inside prison, struggling close umbrella faces warden garren two guards.",[unused2],-1,faces|long|struggling|walking
2,4,yoohoo. hello lady house home joe tries control excitement kneels looks metal slide hole.,yoohoo. hello lady house home [unused2] tries control excitement kneels looks metal slide hole.,[unused2],1,hello|looks|control
3,5,"see frank abagnale jr., face partially hidden dim cell, gets light hanging bulb. frank lying cement floor, back far wall. wears pair underwear clutches torn blanket.","see [unused0] abagnale jr., face partially hidden dim cell, gets light hanging bulb. [unused0] lying cement floor, back far wall. wears pair underwear clutches torn blanket.",[unused0],-1,face|hanging|gets|see|partially|back|lying|torn|far
4,5,"jesus, frank, look terrible. joe shaye heard french prisons, positively barbaric. hear sound come frdthe cell, heavy coughing. jo,e ye cont drrood. joe shaye little cold help me.","jesus, [unused0], look terrible. [unused2] shaye heard french prisons, positively barbaric. hear sound come frdthe cell, heavy coughing. jo,e ye cont drrood. [unused2] shaye little cold help me.",[unused2],1,positively|come
5,5,"help yes, joe shaye help you, frank.","help yes, [unused2] shaye help you, [unused0].",[unused2],1,you
6,5,im sick... please...,im sick... please...,[unused0],0,
7,5,"dont worry, frank, make one night. tomorrow joe shaye help onto plane, clean up, put cell next twenty five years.","dont worry, [unused0], make one night. tomorrow [unused2] shaye help onto plane, clean up, put cell next twenty five years.",[unused2],1,put|clean|make|cell
8,5,"help me, please. frank cant breathe...","help me, please. [unused0] cant breathe...",[unused0],1,help
9,5,"dont start shit, frank.","dont start shit, [unused0].",[unused2],-1,
10,5,"cant ...cant joe looks slot door, see faint images frank rol floor holding","cant ...cant [unused2] looks slot door, see faint images [unused0] rol floor holding",[unused0],0,see|looks|holding
11,6,hes breathing. joe shaye think stopped breathing debbie zane,hes breathing. [unused2] shaye think stopped breathing debbie zane,[unused2],-1,stopped|think|breathing
12,7,"small, empty room four empty hospital beds. frank lifted onto one beds, legs arms flailing sides, kicking thin curtain wall.","small, empty room four empty hospital beds. [unused0] lifted onto one beds, legs arms flailing sides, kicking thin curtain wall.",[unused0],-1,flailing|lifted|kicking
13,7,"whats happening garren guard quickly move toward sink, start wash hands. joe shaye contd","whats happening garren guard quickly move toward sink, start wash hands. [unused2] shaye contd",[unused2],0,move|happening|quickly|start
14,7,frank gone,[unused0] gone,[unused0],0,gone
15,8,"legs toward main door. frank makes way past row cheering prisoners, trips falls, body weak run starts crawl across prison floor. joe garren easily catch him, garren quickly kneeling holding gun franks head cocking weapon. frank stops crawling, rolls back smiles joe shaye.","legs toward main door. [unused0] makes way past row cheering prisoners, trips falls, body weak run starts crawl across prison floor. [unused2] garren easily catch him, garren quickly kneeling holding gun [unused0]s head cocking weapon. [unused0] stops crawling, rolls back smiles [unused2] shaye.",[unused0],-1,catch|easily|cocking|back|him|quickly|makes|starts|holding|head|cheering|rolls|kneeling
16,8,"okay, joe...lets go home.","okay, [unused2]...lets go home.",[unused0],1,lets
17,9,"two little mice fell bucket cream. first mouse quickly gave drowned, second mouse wouldnt quit. struggled hard,","two little mice fell bucket cream. first mouse quickly gave drowned, second mouse wouldnt quit. struggled hard,",[unused0],-1,fell|hard|quickly|drowned|struggled|bucket|gave
18,9,"eventually churned cream butter crawled out. gentleman, moment, narrator second mouse. laughter men room frank continues. frank sr. contd narrator stand today humbled presence mayor allen, club president, jack wright. all, narrator honored see loving wife, paula, son, frank jr., sitting front row. im business man, working stiff tonight made royalty. this, narrator eternally grateful. men applaud frank sr. smiles wife son, giving wink raises plaque air.","eventually churned cream butter crawled out. gentleman, moment, narrator second mouse. laughter men room [unused0] continues. [unused0] sr. contd narrator stand today humbled presence mayor allen, club president, jack wright. all, narrator honored see loving wife, paula, son, [unused0] jr., sitting front row. im business man, working stiff tonight made royalty. this, narrator eternally grateful. men applaud [unused0] sr. smiles wife son, giving wink raises plaque air.",[unused0],1,working|continues|see|laughter|churned|loving|raises|crawled|eventually|honored|sitting|eternally|out|made|giving|applaud|humbled|stand
19,11,"dean martin singing everybod somebody radio, frank sr. hammers plaque wall. middle den, frank dancing mother, holding glass wine dances.","dean martin singing everybod somebody radio, [unused0] sr. hammers plaque wall. middle den, [unused0] dancing mother, holding glass wine dances.",[unused0],0,plaque|holding|dancing|singing
20,11,"paula, show dance met.","paula, show dance met.",[unused0],0,show
21,11,"people little french village happy see americans, decided put show us.","people little french village happy see americans, decided put show us.",[unused0],1,decided|show
22,11,"frank know story, dad.","[unused0] know story, dad.",[unused0],0,know
