,chapter,text,mask_sent,char,mfd2,mfd_word
0,1,therefore permit repeat emphatically marley dead doornail.scrooge know marley dead course scrooge,therefore permit repeat emphatically marley dead doornail.[unused0] know marley dead course [unused0],[unused0],authority.virtue,"permits,permit"
1,1,scrooge marley 's sole executor marley 's sole administrator marley 's sole assign marley 's sole residuary legatee marley 's sole friend sole mourner,[unused0] marley 's sole executor marley 's sole administrator marley 's sole assign marley 's sole residuary legatee marley 's sole friend sole mourner,[unused0],X,X
2,1,scrooge dreadfully cut sad event scrooge excellent man business day funeral solemnise funeral undoubted bargain.the mention funeral bring back point start,[unused0] dreadfully cut sad event [unused0] excellent man business day funeral solemnise funeral undoubted bargain.the mention funeral bring back point start,[unused0],X,X
3,1,perfectly convince marley die play begin would nothing remarkable marley 's take stroll night easterly wind upon marley 's rampart would middleaged gentleman rashly turn dark breezy spot say st pauls churchyard instance literally astonish middleaged gentleman rashly turn dark breezy spot say st pauls churchyard instance literally astonish son weak mind 's son weak mind.scrooge never paint scrooge name,perfectly convince marley die play begin would nothing remarkable marley 's take stroll night easterly wind upon marley 's rampart would middleaged gentleman rashly turn dark breezy spot say st pauls churchyard instance literally astonish middleaged gentleman rashly turn dark breezy spot say st pauls churchyard instance literally astonish son weak mind 's son weak mind.[unused0] never paint [unused0] name,[unused0],care.vice,die
4,1,sometimes people new business call scrooge scrooge sometimes marley scrooge answer name,sometimes people new business call [unused0] [unused0] sometimes marley [unused0] answer name,[unused0],X,X
5,1,scrooge.oh scrooge tightfisted hand grindstone scrooge squeeze wrench grasping scrape clutch covetous old sinner hard sharp flint steel ever strike generous fire,[unused0].oh [unused0] tightfisted hand grindstone [unused0] squeeze wrench grasping scrape clutch covetous old sinner hard sharp flint steel ever strike generous fire,[unused0],"sanctity.vice,care.virtue","sinner,sinners,generous"
6,1,cold within scrooge froze scrooge 's old feature nip scrooge 's pointed nose shrivel scrooge 's cheek stiffen scrooge 's gait,cold within [unused0] froze [unused0] 's old feature nip [unused0] 's pointed nose shrivel [unused0] 's cheek stiffen [unused0] 's gait,[unused0],X,X
7,1,scrooge carry scrooge 's low temperature always scrooge,[unused0] carry [unused0] 's low temperature always [unused0],[unused0],X,X
8,1,scrooge iced scrooge 's office dogday,[unused0] iced [unused0] 's office dogday,[unused0],X,X
9,1,heavy rain snow hail sleet often come handsomely scrooge never did.nobody ever stop scrooge street say gladsome look nobody 's scrooge scrooge come see nobody beggar implore scrooge bestow trifle child ask scrooge oclock man woman ever scrooge 's life inquire way place scrooge,heavy rain snow hail sleet often come handsomely [unused0] never did.nobody ever stop [unused0] street say gladsome look nobody 's [unused0] [unused0] come see nobody beggar implore [unused0] bestow trifle child ask [unused0] oclock man woman ever [unused0] 's life inquire way place [unused0],[unused0],care.virtue,child
