,chapter,text,mask_sent,char,sentiment,keywords
0,3,"pick up, william. companion, william, also, brace himself, reach down, step back alarm bird start flap wildly. try cover embarrassment sound knowledgeable.","pick up, william. companion, william, also, brace himself, reach down, step back alarm bird start flap wildly. try cover embarrassment sound knowledgeable.",[unused0],-1,reach|back|also|himself|step|try|down|wildly
1,4,"hurry, william hurry run dune, wave crash, sand gleam sunlight, see beautiful castle ahead","hurry, william hurry run dune, wave crash, sand gleam sunlight, see beautiful castle ahead",[unused0],1,wave|see|ahead|run
2,6,"find wood. queen take wounded magpie snow white. king look sadly pull ribbon snow white hair carefully bind magpie wing. william watch doorway, notice frail queen look. magpie flap gradually calm, pain easing.","find wood. queen take wounded magpie [unused0]. king look sadly pull ribbon [unused0] hair carefully bind magpie wing. william watch doorway, notice frail queen look. magpie flap gradually calm, pain easing.",[unused0],-1,sadly|magpie|king|gradually|find|bind|carefully|wounded
3,6,"snow white look it. king watch snow white, hide sorrow behind smile. queen, hold back tear.","[unused0] look it. king watch [unused0], hide sorrow behind smile. queen, hold back tear.",[unused0],-1,back|king|hold
4,10,"name ravenna, sire. king speechless now, gaze upon face angel.","name [unused2], sire. king speechless now, gaze upon face angel.",[unused2],0,now|king
5,10,"strike beauty king, forget, first time, broken heart. gaze intense ravenna look moment. lift head","strike beauty king, forget, first time, broken heart. gaze intense [unused2] look moment. lift head",[unused2],-1,
6,13,"kind, child. especially say face true beauty kingdom. snow white quite know answer this.","kind, child. especially say face true beauty kingdom. [unused0] quite know answer this.",[unused2],1,quite|answer|know|especially
7,13,warm smile would like dress like married one day snow white nod.,warm smile would like dress like married one day [unused0] nod.,[unused2],1,snow|like
8,13,ravenna hope invite,[unused2] hope invite,[unused2],1,hope
9,13,"course. snow white smile, enchant new friend.","course. [unused0] smile, enchant new friend.",[unused0],1,
10,13,"ravenna know difficult, child. ravenna age I, too, lose mother.","[unused2] know difficult, child. [unused2] age I, too, lose mother.",[unused2],-1,too|know
11,13,"didravenna yes. king tear arm, dress lace steal innocence. snow white smile die bit. confuse.","did[unused2] yes. king tear arm, dress lace steal innocence. [unused0] smile die bit. confuse.",[unused0],-1,king
12,13,"ravenna never take mother place, ravenna feel ravenna bind. touches heart ravenna feel here. snow white mimics, touch heart, smile ravenna. touching moment something snow white face way smile light room give ravenna pause.","[unused2] never take mother place, [unused2] feel [unused2] bind. touches heart [unused2] feel here. [unused0] mimics, touch heart, smile [unused2]. touching moment something [unused0] face way smile light room give [unused2] pause.",[unused2],1,never|take|touching|give|here
13,14,"ravenna, stunning dress,.walk center aisle. noble land present. ravenna look they, either side aisle. smile, nod appreciation. really look ravenna. follow gaze snow white, behind, hold fold silk wedding dress. snow white look up, adoringly, ravenna. bride groom reach altar, king magnus turn smile, happy man alive.","[unused2], stunning dress,.walk center aisle. noble land present. [unused2] look they, either side aisle. smile, nod appreciation. really look [unused2]. follow gaze snow white, behind, hold fold silk wedding dress. snow white look up, adoringly, [unused2]. bride groom reach altar, king magnus turn smile, happy man alive.",[unused2],1,adoringly|stunning|king|look|hold|follow|wedding|they|really
14,15,"bane king. arrive slowly crawl onto bed, roll back, straddle offer goblet.","bane king. arrive slowly crawl onto bed, roll back, straddle offer goblet.",[unused2],0,back|crawl|slowly
15,15,"sup, lord. king magnus drain goblet, toss grope body.","sup, lord. king magnus drain goblet, toss grope body.",[unused2],0,king
16,15,"mine. eye gleam firelight. magnus try playfully wrestle off, grab hand hold firmly.","mine. eye gleam firelight. magnus try playfully wrestle off, grab hand hold firmly.",[unused2],1,wrestle|playfully|off|hold|try|firmly
17,15,ravenna destroy you.,[unused2] destroy you.,[unused2],-1,you
18,15,people destroy. family destroy. ravenna would destroy. slightly confuse face begin show discomfort.,people destroy. family destroy. [unused2] would destroy. slightly confuse face begin show discomfort.,[unused2],-1,destroy|slightly|begin
19,15,"woman stay forever man resist world hers. suddenly start choke, eye widen surprise. struggle breath...","woman stay forever man resist world hers. suddenly start choke, eye widen surprise. struggle breath...",[unused2],-1,suddenly|forever|stay
20,15,"first ravenna take life, lord. ravenna take throne. reach beneath sheet, pull ornate dagger bring","first [unused2] take life, lord. [unused2] take throne. reach beneath sheet, pull ornate dagger bring",[unused2],1,reach|take|first
21,16,"king lay sword night. eye take she, lustfully, stride away disappear around corner.","king lay sword night. eye take she, lustfully, stride away disappear around corner.",[unused2],-1,lustfully|she|away|king|stride|take
22,17,ravenna mother take ravennas hand hold bowl white liquid.,[unused2] mother take [unused2]s hand hold bowl white liquid.,[unused2],1,take|hold
23,17,drink ravenna choke down.,drink [unused2] choke down.,[unused2],-1,choke|drink|down
24,18,"ravenna exit castle cross courtyard lantern. portcullis open dark figure emerge shadow, enter castle. lead tall pale eyed warrior finn. look ravenna devotedly.","[unused2] exit castle cross courtyard lantern. portcullis open dark figure emerge shadow, enter castle. lead tall pale eyed warrior finn. look [unused2] devotedly.",[unused2],1,eyed|lead|look|devotedly|enter
25,18,"welcome, brother.","welcome, brother.",[unused2],1,
