,chapter,text,mask_sent,char,sentiment,keywords
0,17,im betting joker told kill soon loaded cash.,im betting [unused2] told kill soon loaded cash.,[unused2],-1,loaded|soon|betting|told
1,17,joker believe doesnt kill you...,[unused2] believe doesnt kill you...,[unused2],1,believe|you
2,17,"bank managers eyes go wide. joker rises, strolls towards bus, purple thread attached grenade pin unraveling purple lining jacket walks. joker climbs bus, shuts rear door,","bank managers eyes go wide. [unused2] rises, strolls towards bus, purple thread attached grenade pin unraveling purple lining jacket walks. [unused2] climbs bus, shuts rear door,",[unused2],1,unraveling|rear|lining|rises|attached|strolls|climbs
3,25,"gordon thought go look mother, detective.","[unused1] thought go look mother, detective.",[unused1],0,thought
4,25,gordon gets up. looks sky bat signal.,[unused1] gets up. looks sky bat signal.,[unused1],0,looks|gets
5,25,often doesnt. gordon like reminding everybody hes there.,often doesnt. [unused1] like reminding everybody hes there.,[unused1],-1,there|often|reminding
6,25,hopefully... hes busy.,hopefully... hes busy.,[unused1],0,hes|hopefully
7,29,"bat shadow stumbles backwards terror, leaving bent shotgun batmans hand. batman opens hand,","bat shadow stumbles backwards terror, leaving bent shotgun [unused0]s hand. [unused0] opens hand,",[unused0],1,leaving|opens
8,29,"batman bears dogs mauling another bat shadow draws grappling gun shoots grapple fake batmans leg rips dogs, one dog hanging batman pulls unconscious man away... chechen runs ramp towards exit...","[unused0] bears dogs mauling another bat shadow draws grappling gun shoots grapple fake [unused0]s leg rips dogs, one dog hanging [unused0] pulls unconscious man away... chechen runs ramp towards exit...",[unused0],-1,hanging|mauling|bears|pulls|draws|leg|away|fake|grappling|runs
9,29,"batman kicks dog fake batman chechen gets suv another dog locks jaws around batmans forearm, ripping, tearing batman swings dog head smashes ground jaws open...","[unused0] kicks dog fake [unused0] chechen gets suv another dog locks jaws around [unused0]s forearm, ripping, tearing [unused0] swings dog head smashes ground jaws open...",[unused0],-1,jaws|gets|kicks|tearing|dog|suv|locks|ripping|forearm
10,29,"batman rises, engine races behind cant turn time blam hes slammed sideways speeding van.","[unused0] rises, engine races behind cant turn time blam hes slammed sideways speeding van.",[unused0],-1,speeding|rises|slammed
11,30,"scarecrow, driving, nods hits gas... batman raises hand, revealing jointed mangle pistons.","scarecrow, driving, nods hits gas... [unused0] raises hand, revealing jointed mangle pistons.",[unused0],1,revealing|jointed|raises|nods
12,30,batman chops straight windshield pulls hand chops mangle gets stuck scarecrow steers towards column...,[unused0] chops straight windshield pulls hand chops mangle gets stuck scarecrow steers towards column...,[unused0],1,straight|mangle|gets
