,type,action
0,care.virtue,Lydia tell CHAR_0 baby look healthy happy .
1,care.virtue,CHAR_0 ask mother nicely doll like cousin 's mother buy one .
2,care.virtue,CHAR_0 tell friend dress right offer help find flattering one .
3,care.virtue,CHAR_0 open heart love other start date great guy .
4,care.virtue,CHAR_0 wait mother good stopping point ask mother sleepover .
5,care.virtue,CHAR_0 inquire heirloom father 's ask step mother still they .
6,care.virtue,CHAR_0 develop business strategy bring consultant help implement timely manner .
7,care.virtue,"CHAR_0 's sister back , CHAR_0 suggest help refresh decor bit ."
8,care.virtue,CHAR_0 offer help friend contact vendor .
9,care.virtue,"CHAR_0 seek help parent , counselor , doctor hope fix problem ."
10,care.virtue,CHAR_0 start talk much love cooking exchange healthy recipe overweight girl .
11,care.virtue,molly complete upstate vacation thank CHAR_0 hospitality end weekend .
12,care.virtue,CHAR_0 decide buy dog rescue shelter .
13,care.virtue,CHAR_0 meeting coworker give helpful pointer complete task quickly .
14,care.virtue,"mother get appointment , Bill tell mother he be hungry ."
15,care.virtue,"put fry plate , CHAR_0 move middle table invite friend help themselves ."
16,care.virtue,CHAR_0 ask minute rest play child .
17,care.virtue,"CHAR_0 talk Helen , realize bad day start cry , comfort she ."
18,care.virtue,CHAR_0 decide show card trick patient .
19,care.virtue,CHAR_0 approach worker ask page someone else help she .
20,care.virtue,CHAR_0 decide take child friend 's child field trip .
21,care.virtue,"CHAR_0 tell father lose job , unable pay bill need financial help ."
22,care.virtue,"CHAR_0 put child separate stall , shower another stall ."
23,care.virtue,Billy ask CHAR_0 need help try get medical attention .
24,care.virtue,"CHAR_0 bring friend show exercise routine , help friend make one ."
25,care.virtue,CHAR_0 seek help expertise local detox rehabilitation center .
26,care.virtue,CHAR_0 offer help neighbor move carry stuff they .
27,care.virtue,CHAR_0 offer reasonably supportive view legislation bolster unemployment benefit .
28,care.virtue,CHAR_0 donate money animal rescue group around town .
29,care.virtue,CHAR_0 run towards Blaine quickly see need help offer assistance .
30,care.virtue,CHAR_0 notice child sit alone group kid play together choose go play alone child .
31,care.virtue,CHAR_0 put bird box take local animal hospital treatment .
32,care.virtue,"CHAR_0 ask girl mother let install game , say ask take mother ."
33,care.virtue,CHAR_0 confiscate child 's phone order take mother .
34,care.virtue,Caleb tell CHAR_0 able play toy child finish calm right away .
35,care.virtue,char_0 hand card cop help find person .
36,care.virtue,Fred go bathroom relieve erection .
37,care.virtue,CHAR_0 go counseling sister explain side help third party mediating .
38,care.virtue,CHAR_0 stay place masturbate order relieve himself .
39,care.virtue,get safely home CHAR_0 contact business explain situation .
40,care.virtue,CHAR_0 go counselor help work past .
41,care.virtue,CHAR_0 spend time help sister chore play game .
42,care.virtue,CHAR_0 walk outside smoke away child .
43,care.virtue,CHAR_0 thank parent take care she .
44,care.virtue,CHAR_0 ask teacher help science project .
45,care.virtue,child attempt sit across CHAR_0 hoping play CHAR_0 let child know one quick game .
46,care.virtue,CHAR_0 make son help clean mess explain go toilet important .
47,care.virtue,CHAR_0 ask mother borrow beautiful gold necklace .
48,care.virtue,CHAR_0 wife speak English include mother .
49,care.virtue,CHAR_0 often help other reddit forum use online time learnign experience .
50,care.virtue,CHAR_0 tell classmate right answer offer help school .
51,care.virtue,CHAR_0 walk across hall coworker office offer help they .
52,care.virtue,CHAR_0 donate large portion money charity help orphan .
53,care.virtue,CHAR_0 slowly recruit enough patient still fully understand paperwork .
54,care.virtue,CHAR_0 hire sitter care son game .
55,care.virtue,"Emma please ring , CHAR_0 passionately kiss ask go home make love ."
56,care.virtue,"CHAR_0 carefully look application reference help pick , ignore individual appearance ."
57,care.virtue,CHAR_0 find new home friend take care it .
58,care.virtue,"CHAR_0 tell Pat need ride work , would grateful help offer pay gas ."
59,care.virtue,CHAR_0 park car take care use one parking space .
60,care.virtue,"CHAR_0 offer help man , push wheelchair curb , hurry back work ."
61,care.virtue,CHAR_0 decides find healthy snack relax couch watch television show enjoy .
62,care.virtue,"Amanda help CHAR_0 pick grocery , ride elevator floor ."
63,care.virtue,CHAR_0 send post point thing people stay safe .
64,care.virtue,CHAR_0 wince pain offer help man get up .
65,care.virtue,CHAR_0 make effort treat wife kindly love she .
66,care.virtue,CHAR_0 make enough food breakfast feed mother .
67,care.virtue,CHAR_0 build protective enclosure outside gerbil put there .
68,care.virtue,CHAR_0 help son get use dirtbike practice it .
69,care.virtue,"CHAR_0 instruct son care wound , include clean re - bandage it ."
70,care.virtue,April encourage CHAR_0 give money charity list provide .
71,care.virtue,Megan ask CHAR_0 know anything would help lessen pain .
72,care.virtue,Lana let CHAR_0 comfort keep safe .
73,care.virtue,CHAR_0 decide dedicate life help humanity dental work .
74,care.virtue,"return office , CHAR_0 tell coworker email know someone help husband ."
75,care.virtue,CHAR_0 plan time round clothe day vacation end .
76,care.virtue,CHAR_0 let boyfriend go comfort friend take nap .
77,care.virtue,CHAR_0 talk coworker see need help .
78,care.virtue,CHAR_0 answer phone talk mother use headset working car .
79,care.virtue,"CHAR_0 call neighbor , side short fence , keep eye child grab phone ."
80,care.virtue,Jake CHAR_0 share funny story Jake 's coworker .
81,care.virtue,CHAR_0 tell funny childhood story fairly innocent .
82,care.virtue,char_0 phone parent tell depression would like help support .
83,care.virtue,"CHAR_0 start cry see gift tell parent love she , demand phone ."
84,care.virtue,CHAR_0 decide take road trip visit child 's family .
85,care.virtue,"CHAR_0 follow church way prayer , ask help guidance make sure way culture it ."
86,care.virtue,CHAR_0 hugs sister lightly long receive gift .
87,care.virtue,CHAR_0 thank neighbor help ask notice anything else still ground .
88,care.virtue,CHAR_0 's mother tell CHAR_0 father let CHAR_0 decide information .
89,care.virtue,CHAR_0 's mother refuse tell CHAR_0 father affair walk they .
90,care.virtue,CHAR_0 ask girlfriend share bed night .
91,care.virtue,CHAR_0 apologize hurt opponent help carry field continue play .
92,care.virtue,"CHAR_0 go towards dog see extremely thin , unchain put vehicle get help ."
93,care.virtue,"CHAR_0 decide ask promotion work begin invest money , increase income help Edna raise baby ."
94,care.virtue,CHAR_0 set charity send underprivileged youth college .
95,care.virtue,CHAR_0 throw burn food away order delivery child eat instead .
96,care.virtue,CHAR_0 pick child bring local authority help get home safe .
97,care.virtue,"CHAR_0 pick child guise giving ride , rape slowly kill he ."
98,care.virtue,Lucille share food CHAR_0 ask could try meal .
99,care.virtue,CHAR_0 thank driver tip generously .
100,care.virtue,"CHAR_0 get customer mother , tell woman speak management problem ."
101,care.virtue,"CHAR_0 look person have , make suggestion , offer trade card would help new player ."
102,care.virtue,Wyatt tell CHAR_0 drive safely great time about .
103,care.virtue,CHAR_0 compliment person meet tell let CHAR_0 know ever need help anything .
104,care.virtue,CHAR_0 buy extra item money figure work repayment mother - in - law later .
105,care.virtue,CHAR_0 explain kid think safe .
106,care.virtue,CHAR_0 tell mother say he will place shortly .
107,care.virtue,"CHAR_0 listen mother respond always see good people , also look politician critical eye ."
108,care.virtue,CHAR_0 take time study friend help pass test graduate .
109,care.virtue,"CHAR_0 wrestle knife away pin woman ground , shout help ."
110,care.virtue,Ms. CHAR_0 listen child stutter presentation make sure compliment structure topic choice .
111,care.virtue,CHAR_0 hug June tell love matter what .
112,care.virtue,CHAR_0 tell mother boy take toy he .
113,care.virtue,CHAR_0 's grandma fix CHAR_0 healthy meal treat stay .
114,care.virtue,CHAR_0 start tech company help people learn code .
115,care.virtue,"CHAR_0 decide put tracksuit , hat , safety goggle safety boot ."
116,care.virtue,CHAR_0 take away child 's favorite game .
117,care.virtue,"CHAR_0 find group , internet search , provide help support people want stop use drug ."
118,care.virtue,CHAR_0 give man $ 100 dollar bill tell take care himself .
119,care.virtue,CHAR_0 tell listener way make change life help environment .
120,care.virtue,CHAR_0 wait teacher 's conversation end ask help .
121,care.virtue,CHAR_0 make time child whenever possible teach right wrong well explore interest .
122,care.virtue,Jared offer help CHAR_0 application choose university .
123,care.virtue,CHAR_0 play safe find alcohol delivery service .
124,care.virtue,CHAR_0 tell child clean wall play time week .
125,care.virtue,CHAR_0 enroll child summer camp sport activity keep occupy .
126,care.virtue,"CHAR_0 seat table man tattere clothe , treat table ."
127,care.virtue,"Nick tell CHAR_0 bring workbook over , take look help figure out ."
128,care.virtue,CHAR_0 call help team come house catch racoon set free .
129,care.virtue,""" Lina tell CHAR_0 need reveal "" "" angel "" "" within child speak child therapist . """
130,care.virtue,CHAR_0 use mild safe adhesive hang picture .
131,care.virtue,CHAR_0 pull order help man car .
132,care.virtue,"Troy tell CHAR_0 love mom much , mention think obvious she would come ."
133,care.virtue,CHAR_0 behave public entire shopping trip ask ice cream mother say done go home .
134,care.virtue,"CHAR_0 tell Shannon time heal wound forgive she , restart friendship ."
135,care.virtue,"despite feeling good , CHAR_0 eat healthy breakfast , take aspirin head work ."
136,care.virtue,CHAR_0 talk mother calmly decide install safety lock stove .
137,care.virtue,CHAR_0 take dog animal hospital .
138,care.virtue,CHAR_0 invite cancer patient get help first .
139,care.virtue,CHAR_0 help customer order arrive .
140,care.virtue,"CHAR_0 pull side road , safety , call Betty ."
141,care.virtue,"CHAR_0 share feeling wife , decide try new activity together ."
142,care.virtue,CHAR_0 retire spend much time four child grow .
143,care.virtue,CHAR_0 go good spend hour put together multiple outfits charity bin .
144,care.virtue,CHAR_0 help Amanda several recommendation restaurant day .
145,care.virtue,CHAR_0 hugs son ask victory fist bump .
146,care.virtue,"CHAR_0 pause movie , take call , comfort Chelsea , afterward finish watch movie ."
147,care.virtue,CHAR_0 call mobile repair service ask come help he .
148,care.virtue,CHAR_0 tell dad need mom 's help homework .
149,care.virtue,CHAR_0 decide invite mother law father law wedding .
150,care.virtue,"CHAR_0 seek help project able finally figure out , move next one ."
151,care.virtue,CHAR_0 go Helen ask still love affair .
152,care.virtue,CHAR_0 ask man send information charity first .
