,chapter,text,mask_sent,char,mfd2,mfd_word
0,1,reach trap door middle floor ladder lead it.when dorothy stand doorway look around dorothy could see nothing great gray prairie every side,reach trap door middle floor ladder lead it.when [unused0] stand doorway look around [unused0] could see nothing great gray prairie every side,[unused0],X,X
1,1,dorothy first come aunt em farmer ’s wife aunt em farmer ’s wife startle dorothy laughter aunt em farmer ’s wife would scream press aunt em farmer ’s wife 's hand upon aunt em farmer ’s wife 's heart whenever dorothy 's merry voice reach aunt em farmer ’s wife 's ear,[unused0] first come aunt em farmer ’s wife aunt em farmer ’s wife startle [unused0] laughter aunt em farmer ’s wife would scream press aunt em farmer ’s wife 's hand upon aunt em farmer ’s wife 's heart whenever [unused0] 's merry voice reach aunt em farmer ’s wife 's ear,[unused0],loyalty.virtue,wife
2,1,first dorothy thought dorothy lose toto,first [unused0] thought [unused0] lose toto,[unused0],X,X
3,1,dorothy feel quite lonely wind shriek loudly dorothy dorothy nearly become deaf,[unused0] feel quite lonely wind shriek loudly [unused0] [unused0] nearly become deaf,[unused0],X,X
4,1,first dorothy wonder dorothy would dash piece house fall,first [unused0] wonder [unused0] would dash piece house fall,[unused0],X,X
5,2,one woman powerful woman rule one woman set people free one woman.but think witch wicked say,one woman powerful woman rule one woman set people free one woman.but think [unused2] wicked say,[unused2],X,X
6,2,four witch land oz two four witch live north south good witch,four [unused2] land oz two four [unused2] live north south good [unused2],[unused2],X,X
7,2,dwelt east witch indeed wicked witch,dwelt east [unused2] indeed wicked [unused2],[unused2],X,X
8,2,kill one dwelt east witch one wicked witch land oz one wicke witchthe witch.but say moment ’s think aunt em tell four witch dead year year ago.who aunt em inquire one woman.aunt em one woman 's aunt live kansas one woman come from.the witch north seem think time one woman 's head bow one woman 's eye upon ground,kill one dwelt east [unused2] one wicked [unused2] land oz one wicke [unused2]the [unused2].but say moment ’s think aunt em tell four [unused2] dead year year ago.who aunt em inquire one woman.aunt em one woman 's aunt live kansas one woman come from.the [unused2] north seem think time one woman 's head bow one woman 's eye upon ground,[unused2],care.vice,"kill,kills"
9,2,civilized country one woman believe witch leave wizard sorceresse magician,civilized country one woman believe [unused2] leave wizard sorceresse magician,[unused2],loyalty.virtue,"countries,country"
10,2,live city emeralds.she go ask another question munchkin stand silently give loud shout point corner house woman lying.what corner house wicked witch lie ask look begin laugh,live city emeralds.she go ask another question munchkin stand silently give loud shout point corner house woman lying.what corner house wicked [unused2] lie ask look begin laugh,[unused2],X,X
11,2,country winkie live rule wicked witch witch would make wicked witch witch would make slave pass way 's slave pass wicked witch witch would make slave pass way 's way.the north one woman 's home say one woman north 's edge great desert,country winkie live rule wicked [unused2] [unused2] would make wicked [unused2] [unused2] would make slave pass way 's slave pass wicked [unused2] [unused2] would make slave pass way 's way.the north one woman 's home say one woman north 's edge great desert,[unused2],"authority.virtue,loyalty.virtue","slaves,countries,slave,country"
12,2,one woman give friendly little nod whirl around one woman 's leave heel three time straightway disappear much surprise little toto bark one woman loudly enough one woman go afraid even growl stand by.but know one woman witch expect one woman disappear way surprised least,one woman give friendly little nod whirl around one woman 's leave heel three time straightway disappear much surprise little toto bark one woman loudly enough one woman go afraid even growl stand by.but know one woman [unused2] expect one woman disappear way surprised least,[unused2],X,X
13,3,dorothy leave alone dorothy begin feel hungry,[unused0] leave alone [unused0] begin feel hungry,[unused0],X,X
